,사업장명,주소,위도,경도
78,펫츠도어,서울 서대문구 신촌로 169-7 105호,37.55710621,126.9445221
79,예뻐할개,서울 서대문구 홍제내길 152,37.58862437,126.9375035
80,크로스앰,서울 강서구 화곡로68길 82 강서아이티밸리 309호,37.55753932,126.8583018
81,집사들,서울 영등포구 선유로43가길 24,37.53142734,126.8920117
82,댕저트,경기 고양시 덕양구 향기로 123 센타프라자 2층 208호,37.60067631,126.8942757
83,강아지고양이편의점 목동점,서울 양천구 목동중앙로 97,37.53781654,126.872598
84,블루맘,서울 양천구 목동중앙로7길 51 1층,37.53920298,126.8705068
85,멍멍옷,서울 양천구 목동중앙북로8라길 20,37.54647581,126.8640641
86,링트리,서울 강서구 공항대로 461-12,37.55442866,126.8587075
87,펫마인드,서울 강서구 양천로 482 삼부르네상스오피스텔 1층 106호,37.56126285,126.8539256
88,하룻강아지,서울 영등포구 영중로 140 드림플라자 5층 A-7호,37.52877112,126.9060559
89,레드퍼피,서울 영등포구 국회대로 553,37.52856503,126.8961119
90,알모네이쳐코리아,서울 강서구 화곡로68길 15 아벨테크노 808호,37.55945501,126.8553228
91,개밥 하우스,서울 양천구 등촌로 114,37.54014367,126.8640552
92,모모펫,서울 은평구 역말로 54,37.60580902,126.9164652
93,멍박사 강서점,서울 강서구 까치산로 152,37.55076051,126.8524386
94,오케이펫코리아,서울 영등포구 영등포로25길 28-1,37.52351407,126.898466
95,vet7,서울 은평구 은평로13길 10 신풍빌딩 6층,37.60215823,126.9256558
96,도그버디 불광점,서울 은평구 진흥로 147-1,37.60880551,126.9260163
97,홈독애견마트 홍제점,서울 서대문구 통일로 397 인왕산 한신휴플러스 1층,37.5851683,126.9473981
98,지지독,서울 양천구 신목로6길 34 1층,37.52155078,126.875568
99,강아지와고양이나라 불광점,서울 은평구 통일로 790 1층,37.61523052,126.925968
100,해피펫,서울 은평구 연서로17길 18-5,37.61338927,126.915763
101,란스,서울 양천구 목동중앙남로 21,37.53594621,126.8678158
102,도그브레드,서울 강서구 등촌로13길 35,37.53538137,126.8612904
103,이펫 마곡본점,서울 강서구 강서로 433 마곡오드카운티2차 1층,37.56439845,126.8396576
104,밥 애완용품전문점 목동점,서울 양천구 목동로15길 5 1층,37.52402406,126.8640661
105,펫플러스,서울 강서구 국회대로 171,37.52889245,126.8540343
106,도그스푼,서울 서대문구 홍은중앙로3길 22 1층,37.59842074,126.9460305
107,콩이네애완용품할인매장,서울 강서구 강서로 40 1층,37.5315258,126.847125
108,스프링펫 서대문점,서울 서대문구 통일로 185-1,37.57006383,126.9621641
109,머슬펫,서울 강서구 화곡로 286-1 1층,37.54994211,126.848297
110,위펫,서울 은평구 서오릉로 234,37.61571824,126.9086281
111,와와유통,서울 영등포구 영등포로37길 26,37.52243763,126.9058357
112,루미앤비비,서울 서대문구 모래내로 464 105호,37.58567336,126.9463032
113,BOB 영등포점,서울 영등포구 신길로 243 1층,37.51370502,126.9108308
114,냥이와멍이상점,서울 강서구 까치산로 30 1층 4호,37.54221143,126.843786
115,뮤니쿤트,서울 서대문구 통일로 484 서대문구신지식산업센터 311-1호,37.5916068,126.9429418
116,프리미엄 바이마이디어,서울 강서구 강서로56가길 55 1층,37.5620691,126.8402545
117,티제이코리아,서울 영등포구 경인로112길 4 1층,37.51800678,126.9132656
118,리프패럿 앵무새체험관카페 신정점,서울 양천구 은행정로 13 성광빌딩 5층 B호,37.52082171,126.8597444
119,펫죤상사,서울 강서구 국회대로7길 34,37.53014745,126.8589988
120,도그원펫센터,서울 은평구 연서로29길 24 지층,37.6196146,126.9177467
121,어니스트밀,서울 은평구 통일로 715 9층 은평사회적경제혁신밸리센터 11호,37.60941395,126.9303084
122,우리동네펫,서울 서대문구 세검정로 49,37.59252333,126.9464958
123,잇츠써니아웃사이드,서울 영등포구 선유서로 128 양평역대우미래사랑 A동 803호,37.52737422,126.8871279
124,대주통상,서울 서대문구 통일로 484 유진상가 320호,37.5916068,126.9429418
125,멍냥이와산다,서울 강서구 공항대로41길 75 경원프라자 104호,37.56114864,126.8463601
126,서촌양품,서울 종로구 사직로9길 6-1,37.576532,126.9686685
127,반려동물용품백화점 용산점,서울 용산구 새창로14길 48 1층,37.53746075,126.959374
128,퍼니퍼피샵,서울 강서구 곰달래로 245,37.53213365,126.8602459
129,고양이나무,서울 강서구 까치산로 46 1층,37.54320528,126.844983
130,애견사료용품,서울 강서구 국회대로7길 50,37.53003457,126.8581073
131,미소캣,서울 은평구 녹번로 37,37.60541759,126.9289236
132,동부상사,서울 영등포구 영등포로33길 23,37.52256242,126.9028426
133,간식나무,서울 영등포구 선유서로 67 1층 115호,37.52209338,126.8844551
134,펫소드,서울 영등포구 경인로79길 20,37.5136242,126.8935361
135,마리펫,서울 양천구 신정중앙로 20,37.52758935,126.853689
136,펫리미엄,서울 은평구 갈현로 269 1층,37.62086328,126.916338
137,다스블라우,서울 강서구 양천로 401,37.56570105,126.8476441
138,수양애완용품 용산점,서울 용산구 새창로 126,37.53632967,126.9608121
139,뽀송펫,서울 은평구 갈현로 211,37.61620098,126.9137737
140,스프링펫 용산점,서울 용산구 새창로14길 48,37.53746075,126.959374
141,춘펫샵,서울 은평구 통일로61길 7,37.60655216,126.9322146
142,애견샵,서울 은평구 통일로 803,37.61566482,126.9244461
143,애견용품도매상가,서울 중구 퇴계로 39 2층,37.55797078,126.9769357
144,똑똑한 독,서울 영등포구 신길로60마길 4-1,37.51353064,126.9128461
145,나니스펫푸드,서울 종로구 자하문로 298 1층,37.59942921,126.9600556
146,투비펫,서울 강서구 양천로 401 B-1012,37.56570105,126.8476441
147,작은손아린맘,서울 양천구 신목로 45-1,37.51927694,126.8726243
148,에스브이디씨,서울 영등포구 국제금융로 10 IFC몰 2층,37.52517752,126.9248767
149,루이독 현대백화점 목동점,서울 양천구 목동동로 257 지하2층,37.52719787,126.8746912
150,블루페블즈,서울 강서구 공항대로 219,37.55963488,126.8320108
151,샤워앤독,"서울 구로구 경인로 638 신도림sk뷰 상가 1,2층",37.50668795,126.886233
152,이노뱅크,서울 강서구 국회대로7길 50,37.53003457,126.8581073
153,깜순이네,서울 강서구 강서로17길 15,37.53302101,126.8449105
154,개빵집,서울 영등포구 양산로 138 1층,37.52365656,126.8981927
155,멍양사,서울 강서구 강서로62길 98 1층,37.56169883,126.8450141
156,더쉘,서울 용산구 효창원로86나길 7-1,37.54741374,126.9653222
157,나우위,서울 영등포구 여의대방로65길 6 15층,37.51918977,126.930533
158,반하츠,서울 영등포구 영등포로84길 3 트라빌 504호,37.51282671,126.9223059
159,퍼피짱,경기 고양시 덕양구 용두로47번안길 110 2층,37.62104881,126.8917625
160,컴펫라이프,서울 영등포구 국제금융로6길 33 1216호,37.52079083,126.926912
161,독바위펫,서울 은평구 불광로 114 1층,37.61687816,126.9329001
162,영원히지켜줄개,서울 강서구 가로공원로 184-2 2층,37.53680563,126.8364725
163,펫츠홈,경기 고양시 덕양구 서오릉로 452 1층,37.62789693,126.8903858
164,콜링코리아,서울 강서구 초록마을로 149-12,37.5360022,126.8480732
165,개이버,서울 영등포구 도림로 462 국화아파트 상가 3층,37.51577851,126.8923582
166,강아지세상,서울 서대문구 홍은중앙로 114,37.60046092,126.9490343
167,가원펫애견샵,서울 양천구 신월로 220,37.52135003,126.846604
168,캣그린스,서울 강서구 공항대로 220 917호,37.5587038,126.8317656
169,토토팬시,서울 중구 퇴계로 39 영창상가 3층 2호,37.55797078,126.9769357
170,개밥주는고양이 신길점,서울 영등포구 가마산로 394 성락빌딩 1층,37.50306231,126.9010444
171,멍멍신도시,서울 강서구 곰달래로 85,37.5304298,126.8423073
172,옥희독희,서울 강서구 공항대로 220 우성에스비타워2 10층 1017호,37.5587038,126.8317656
173,멍냥개냥,서울 양천구 신월로36길 19 2층,37.51995855,126.858686
174,와이독,서울 용산구 원효로41가길 10,37.53444611,126.9576236
175,BOB애완용품 서울본점,서울 양천구 국회대로 45,37.5267753,126.8398042
176,튼튼펫 연신내점,서울 은평구 연서로 267-1,37.62060461,126.9243595
177,허그허그,서울 양천구 오목로 157 1층,37.52500107,126.854873
178,스튜디오코지,서울 강서구 마곡중앙2로 35 619호,37.55796503,126.8306618
179,달키애견,서울 강서구 강서로45길 174 SM타워 B08호,37.5528719,126.8306113
180,리틀콜린,서울 용산구 원효로89길 19 3층,37.54072234,126.9680711
181,수제간식 얌,서울 양천구 신정동 1194-5 상가동 103호,37.5221275,126.8482056
182,빵댕잇,서울 종로구 자하문로1길 49-24 1층,37.57646544,126.9694391
183,애완용품할인마트,서울 용산구 한강대로 58,37.52578388,126.9650443
184,쥬비코,서울 중구 퇴계로2길 15 지하 1층,37.55695157,126.9774125
185,인터펫,서울 강서구 국회대로 55,37.52697161,126.8409902
186,호키포키,서울 강서구 마곡서로 175 상가동 103호,37.56890813,126.8242325
187,두원실업,서울 강서구 마곡중앙1로 26 마곡엠리체 605~608호,37.5586283,126.823855
188,젠틀펫몬스터,서울 영등포구 가마산로34길 3 우성빌딩 1층,37.49859206,126.8964197
189,스투키펫,서울 종로구 인사동길 24 덕원빌딩 1층,37.57294555,126.9865084
190,포먼트,서울 강서구 공항대로 212 퀸즈파크11 A동 1007호,37.55882481,126.8310076
191,슈퍼펫,서울 중구 명동4길 18,37.5619453,126.990151
192,론이네무인애완용품할인점,서울 강서구 가로공원로76길 100,37.53282366,126.8388354
193,네스트원랩,서울 은평구 갈현로 334 2층,37.62609626,126.9187295
194,강군,서울 영등포구 여의대방로53나길 33-1,37.51044548,126.9208603
195,아더펫,서울 영등포구 가마산로 401,37.50366949,126.9013631
196,개과천선,서울 양천구 월정로 177,37.53442461,126.8354771
197,웰빙상사,서울 강서구 강서로45길 174 수명산타워 B-08호,37.5528719,126.8306113
198,유어마이펫,서울 강서구 마곡서로 152 B동 216호,37.56771074,126.8256454
199,댕큐베리,서울 강서구 마곡서로 101 동익드미라벨 854호,37.56267069,126.8236056
200,멍이랑냥이랑,서울 영등포구 여의대방로 185 1층,37.50364617,126.9214535
201,BOB,서울 양천구 곰달래로6길 8,37.52915321,126.8349496
202,펫마트 양천점,서울 양천구 신월로 134,37.51656834,126.8388408
203,제이엔제이,서울 중구 퇴계로 39 3층 52호,37.55797078,126.9769357
204,야옹아놀자 마곡점,서울 강서구 마곡중앙로 161-1 2층 210호,37.56786566,126.8274534
205,강아지고양이편의점 신정점,서울 양천구 중앙로43길 14 래미안목동아델리체 단지내상가 121동 1층 112호,37.5204176,126.8513406
206,투스투스,서울 용산구 한강대로 170 2층,37.5337932,126.9727666
