,사업장명,주소,위도,경도
86,풀스트릿브런치,서울특별시 마포구 동교로51안길 16 풀스트릿,37.5652702,126.9246332
87,"인솔커피 상수점카페,디저트",서울특별시 마포구 독막로18길 16 1층 인솔커피 상수점,37.54712081,126.9235515
88,"코코샌드카페,디저트",서울특별시 마포구 양화로23길 22-7 2층,37.55967262,126.9252524
89,연트럴다방베이커리,서울특별시 마포구 동교로41길 32 지층,37.56378161,126.9235645
90,"커피 벌스데이카페,디저트",서울특별시 마포구 와우산로29길 26-33 1층 커피 벌스데이,37.555532,126.9287657
91,staywell cafe카페,서울특별시 마포구 백범로 152,37.54474774,126.9482582
92,빼꼼하우스브런치,"서울특별시 마포구 독막로8길 15-6 1층,2층",37.54700048,126.9182318
93,"fondcoffee카페,디저트",서울특별시 마포구 동교로15길 32 1층 폰드커피,37.5561191,126.9141463
94,베뉴 연남 더 테라스장소대여,서울특별시 마포구 동교로 282 4층 루프탑 스튜디오,37.5641946,126.9266459
95,"카페대흥카페,디저트",서울특별시 마포구 대흥로 80-15 1층,37.54702332,126.9420765
96,"밀루앤라떼카페,디저트",서울특별시 마포구 토정로 27,37.54573429,126.9139019
97,"카페청사진카페,디저트",서울특별시 마포구 포은로 89 2층,37.55502137,126.9050324
98,"blisspoint카페,디저트",서울특별시 마포구 월드컵로19길 42 지1층 오른쪽,37.55568478,126.9076541
99,호핀치카페,서울특별시 마포구 광성로6안길 6 1층 호핀치,37.54893831,126.9383529
100,"카페앤드에이카페,디저트",서울특별시 마포구 토정로11길 54 1층,37.54602569,126.9237627
101,이퀄커피카페,서울특별시 마포구 월드컵로23길 45 1층 Equil coffee,37.55588849,126.9073022
102,"지하로카페카페,디저트",서울특별시 마포구 성암로3길 30 지하,37.56826029,126.9109767
103,카페곳애견카페,서울특별시 서대문구 홍제내2나길 2 2층 3층 루프탑,37.58484503,126.936418
104,"스태픽스카페,디저트",서울특별시 종로구 사직로9길 22 102호,37.57747162,126.9678809
105,카페히든카페,서울특별시 양천구 목동동로 222-6 1층,37.52531958,126.8721897
106,"카페 아리네카페,디저트",서울특별시 양천구 목동동로 222-11,37.52537042,126.8727156
107,"카페 아임히어카페,디저트",서울특별시 용산구 백범로 326 1층,37.5381476,126.9650511
108,"애크미카페,디저트",서울특별시 강서구 화곡로61길 100 청석빌딩,37.55844423,126.8470036
109,"파이드파이퍼카페,디저트",서울특별시 용산구 한강대로14길 8 파크빌라트 1층,37.52493484,126.9646593
110,"카페일월십일카페,디저트",서울특별시 양천구 목동중앙남로9길 41 1층,37.53787136,126.8641467
111,냉큼오레오반려동물미용,서울특별시 강서구 화곡로58길 39 2층 냉큼오레오,37.55282748,126.8530795
112,"에스페란자 로스터즈카페,디저트",서울특별시 서대문구 증가로4길 58-15 1층.2층,37.57749834,126.9287152
113,시시카페,서울특별시 서대문구 가재울로 16 1층 시시,37.57399614,126.9225077
114,"미미에토카페,디저트",서울특별시 서대문구 연희로 153-4,37.57126825,126.9340059
115,"이알커피카페,디저트",서울특별시 서대문구 홍연길 80 1층 이알커피,37.57645623,126.9309471
116,"카페 드 에덴카페,디저트",서울특별시 서대문구 포방터길 23 1층,37.59781258,126.9486932
117,"카페 멈무이카페,디저트",서울특별시 서대문구 간호대로 35 지하1층,37.59694675,126.9473147
118,치코앤치카장소대여,서울특별시 서대문구 홍은중앙로9나길 55-13,37.6023605,126.9468371
119,"다용도실카페,디저트",서울특별시 은평구 연서로20길 17 1층,37.61409771,126.919896
120,"태산 커피시그니처카페,디저트",서울특별시 은평구 응암로 347,37.60220564,126.9221947
121,"ZHO카페,디저트",서울특별시 은평구 갈현로33길 5 1층 103호,37.62034059,126.9155473
122,블룸애견카페,경기도 고양시 덕양구 삼원로2길 20,37.6442174,126.8782869
123,"프랜즈카페,디저트",경기도 고양시 덕양구 신도3길 50 1층,37.65118287,126.8931282
124,"인커밍카페,디저트",경기도 고양시 덕양구 동산1로 34,37.64267781,126.8837444
125,아임파인바베큐장소대여,경기도 고양시 덕양구 중고개길 83-37,37.65720909,126.9315697
