,lat,lng,name,address,type
67,37.4945745,127.1519824,진메디칼약국,서울특별시 송파구 마천동 307-13번지 1층 ,동물약국업
68,37.4982843,127.1207781,메디팜대신M약국,서울특별시 송파구 가락동 48번지 ,동물약국업
69,37.5188607,127.0992536,삼성수약국,서울특별시 송파구 신천동 7-29번지 ,동물약국업
70,37.4772734,127.1273388,송파정약국,서울특별시 송파구 장지동 841-4번지 대진프라자 105호,동물약국업
71,37.5714356,126.9615273,파란문약국,서울특별시 종로구 교북동 126 경희궁자이 4단지,동물약국업
72,37.49656179999999,127.1315385,지앤미약국,서울특별시 송파구 가락동 164-23번지 ,동물약국업
73,37.5018989,127.1095299,송파사거리약국,서울특별시 송파구 석촌동 295-6번지 ,동물약국업
74,37.5052217,127.1062715,윤약국,서울특별시 송파구 석촌동 174-2번지 ,동물약국업
75,37.4879027,127.1249649,문정약국,서울특별시 송파구 문정동 31번지 ,동물약국업
76,37.4981295,127.1469272,마천푸른솔약국,서울특별시 송파구 마천동 118-12번지 1층 ,동물약국업
77,37.494231,127.1177169,뉴프라임약국,서울특별시 송파구 가락동 96-16번지 ,동물약국업
78,37.509456,127.1120394,예사랑약국,서울특별시 송파구 송파동 135-3번지 ,동물약국업
79,37.5162275,127.1029989,잠실미소약국,서울특별시 송파구 신천동 7-12번지 홈플러스잠실점 지하1층 ,동물약국업
80,37.5120464,127.0841726,그린약국,서울특별시 송파구 잠실동 19-9번지 잠실파인애플상가 2층 60~61호 ,동물약국업
81,37.4848376,127.1254914,피나팜맑은약국,서울특별시 송파구 문정동 642번지 송파 테라타워2 B동 144호,동물약국업
82,37.51117869999999,127.0979853,키즈플러스약국,서울특별시 송파구 잠실동 40-1번지 롯데월드 웰빙센터동 A-104호,동물약국업
83,37.6399379,127.029329,가까운현대약국,서울특별시 강북구 번동 462-22 1층,동물약국업
84,37.5026889,127.0955177,왕약국,서울특별시 송파구 삼전동 133-9번지 ,동물약국업
85,37.4963108,127.1312282,큰사랑동물약국,서울특별시 송파구 가락동 164-20번지 ,동물약국업
86,37.5113733,127.0929575,메디팜양의약국,서울특별시 송파구 잠실동 40번지 갤러리아팰리스 1층 23호,동물약국업
87,37.4925182,127.1472973,남매약국,서울특별시 송파구 거여동 31번지 ,동물약국업
88,37.5078652,127.0879833,태평양약국,,동물약국업
89,37.4893289,127.1227512,진약국,,동물약국업
90,37.4916854,127.117708,소나무약국,,동물약국업
91,37.6449603,127.0201906,참약국,서울특별시 강북구 수유동 256-3 JK빌딩 104호,동물약국업
92,37.5580624,126.90781,비온뒤 숲속약국,서울특별시 마포구 망원동 482-9번지 풍성빌딩 1041호,동물약국업
93,37.5133985,127.1173917,녹원약국,,동물약국업
94,37.508128,127.1284843,박순영온누리약국,서울특별시 송파구 오금동 19번지 대림아파트상가 117~1호,동물약국업
95,37.5279994,127.1183907,늘봄약국,,동물약국업
96,37.49905630000001,127.1194199,참행복한약국,,동물약국업
97,37.5175312,127.103575,참약국,서울특별시 송파구 신천동 11-4번지 잠실 푸르지오 월드마크 219호,동물약국업
98,37.4859826,127.1197497,문정이화약국,서울특별시 송파구 문정동 643-1번지 엠스테이트 C동 214호,동물약국업
99,37.5039061,127.1192075,송파온누리약국,서울특별시 송파구 송파동 163-20번지 1층 ,동물약국업
100,37.5094929,127.12423,방이종로약국,서울특별시 송파구 방이동 208-3번지 ,동물약국업
101,37.5033831,127.0902874,베스트약국,서울특별시 송파구 삼전동 48-10번지 ,동물약국업
102,37.5120464,127.0841726,밝은약국,서울특별시 송파구 잠실동 19-9번지 ,동물약국업
103,37.5044846,127.107339,한가족약국,서울특별시 송파구 석촌동 286-1번지 ,동물약국업
104,37.5016284,127.1086253,수약국,,동물약국업
105,37.5193571,127.0993659,월드중앙약국,,동물약국업
106,37.5101888,127.0856227,숲약국,,동물약국업
107,37.51593200000001,127.1320277,프라자약국,,동물약국업
108,37.5085653,127.0833193,신화약국,,동물약국업
109,37.5003751,127.1110805,메디팜하나약국,서울특별시 송파구 석촌동 296-17번지 ,동물약국업
110,37.5119601,127.0869604,단비온누리약국,,동물약국업
111,37.5157622,127.1320826,온누리건강약국,,동물약국업
112,37.51062450000001,127.1161033,송파태양약국,서울특별시 송파구 방이동 119번지 1층 ,동물약국업
113,37.5687597,126.9661671,굿모닝약국,서울특별시 종로구 평동 233번지 경희궁자이 3단지 ,동물약국업
114,37.570743,127.003384,유한약국,서울특별시 종로구 종로5가 193-1번지 ,동물약국업
115,37.5706604,127.0003266,열린약국,서울특별시 종로구 종로4가 185번지 ,동물약국업
116,37.5687597,126.9661671,위드팜바로드림약국,서울특별시 종로구 평동 233번지 경희궁자이 3단지 3150호,동물약국업
117,37.5687597,126.9661671,유약국,서울특별시 종로구 평동 233번지 경희궁자이 3단지 상가동 3146호,동물약국업
118,37.5687597,126.9661671,일등약국,서울특별시 종로구 평동 233번지 경희궁자이 3단지 ,동물약국업
119,37.5705113,126.9639734,경희궁햇살약국,서울특별시 종로구 홍파동 199번지 경희궁자이 2단지 ,동물약국업
120,37.6068278,126.9584295,예은약국,서울특별시 종로구 구기동 94번지 ,동물약국업
121,37.646607,126.927195,솔약국,서울특별시 은평구 진관동 6 은평뉴타운상림마을 702동 113호,동물약국업
122,37.6080571,126.9564982,사랑약국,서울특별시 종로구 구기동 110-1번지 요진오피스텔 3호,동물약국업
123,37.581555,126.9705744,종로프라자약국,서울특별시 종로구 옥인동 19-33번지 ,동물약국업
124,37.4996619,127.0320322,종로온누리약국,서울특별시 종로구 창신동 562번지 하나저축은행 ,동물약국업
125,37.5713246,126.9635654,경희궁햇살약국,서울특별시 종로구 홍파동 42-13번지 ,동물약국업
126,37.5700878,126.9912669,동남약국,서울특별시 종로구 종로3가 123-2번지 ,동물약국업
127,37.5740791,126.9851395,수도약국,,동물약국업
128,37.5768766,127.0152236,사랑온누리약국,,동물약국업
