,lat,long,name,address,type
51,37.6136415,127.05085,마이도그반려동물미용,서울특별시 성북구 돌곶이로 19 한양빌딩 1층 골목 초입,동물위탁관리업
52,37.619344,127.0448112,땡일리 강아지유치원애견훈련,서울특별시 성북구 월계로32길 24,동물위탁관리업
53,37.6566014,127.0629736,도니바니애견카페애견카페,서울특별시 노원구 상계로 71-1 2층,동물위탁관리업
54,37.670274,127.0820675,포레스트독반려동물,서울특별시 노원구 덕릉로126길 12 병창빌딩,동물위탁관리업
55,37.6669626,127.1147453,멍뭉유치원반려동물,경기도 남양주시 별내3로 334 다우프라자 2층 멍뭉유치원,동물위탁관리업
56,37.6631312,127.1271035,리틀원유치원반려견놀이터,경기도 남양주시 별내5로23번길 18-26 1층 리틀원,동물위탁관리업
57,37.6484473,127.1092994,파파퍼피 DOG하우스애견훈련,경기도 남양주시 불암로81번길 7,동물위탁관리업
58,37.6360028,127.2165279,우리아기 예뻐지는 날반려동물미용,경기도 남양주시 덕송2로10번길 15-94 102호,동물위탁관리업
59,37.5463194,127.1346938,제제네멍치원반려동물호텔,서울특별시 강동구 구천면로42길 8 5층,동물위탁관리업
60,37.5691025,127.18498,도리스애견훈련,"경기도 하남시 미사강변중앙로 189 에코브릿지2 308,309호",동물위탁관리업
61,37.5691025,127.18498,해피독 트레이닝 스쿨애견훈련,경기도 하남시 미사강변한강로136번안길 9 1층,동물위탁관리업
62,37.5691025,127.18498,안녕강아지애견카페,경기도 하남시 미사강변중앙로 221 센트럴파크2 305호 안녕강아지,동물위탁관리업
63,37.5058775,127.086794,MM애견공방반려동물미용,서울특별시 송파구 백제고분로 165 서도빌딩,동물위탁관리업
64,37.5134326,127.1096249,펫도그 애견스쿨애견훈련,서울특별시 송파구 새말로 146 하나빌딩 3층,동물위탁관리업
65,37.4889676,127.1244482,힐링몽애견훈련,서울특별시 송파구 동남로4길 13 지하1층,동물위탁관리업
66,37.4951713,127.1265098,멍찌네하우스반려동물호텔,서울특별시 송파구 중대로16길 19-10,동물위탁관리업
67,37.4885328,127.1241434,멍돌하우스반려동물호텔,서울특별시 송파구 문정로1길 26,동물위탁관리업
68,37.513265,127.101133,돌봄반려동물호텔,서울특별시 송파구 백제고분로7길 6-5 지하1층,동물위탁관리업
69,37.4836751,127.1286743,갓독애견호텔반려동물호텔,서울특별시 송파구 새말로 62 송파 푸르지오시티,동물위탁관리업
70,37.503868,127.0333441,24개스트하우스 강남강아지유치원반려견놀이터,서울특별시 강남구 봉은사로20길 52 지하 1층,동물위탁관리업
71,37.4935884,127.0354824,멍투게더 강아지유치원반려동물호텔,서울특별시 강남구 역삼로14길 14 명진빌딩 3층,동물위탁관리업
72,37.4999269,127.0365526,준애견훈련소강아지유치원애견훈련,서울특별시 강남구 테헤란로 152,동물위탁관리업
73,37.4993527,127.0428502,강남강아지반려견놀이터,서울특별시 강남구 언주로79길 14 2층,동물위탁관리업
74,37.5155371,127.0306609,해피퍼피애견훈련,서울특별시 강남구 논현로134길 5,동물위탁관리업
75,37.5045647,127.0340341,스타일리다독반려동물미용,서울특별시 강남구 논현로101길 10,동물위탁관리업
76,37.5214217,127.0381383,나나리펫하우스반려동물호텔,서울특별시 강남구 논현로 70 동성빌딩 2층,동물위탁관리업
77,37.5120274,127.0411376,전설의강아지애견카페,서울특별시 강남구 선릉로115길 22,동물위탁관리업
78,37.4794966,127.0425575,야옹아멍멍해봐 양재점반려동물분양,서울특별시 서초구 양재천로 141,동물위탁관리업
79,37.4858797,126.9889187,하울팟 케어클럽 서초본점반려동물,서울특별시 서초구 서초대로58길 36 4~5F,동물위탁관리업
80,37.4961266,126.9970813,프랑소와펫 서래점반려동물미용,"서울특별시 서초구 서래로1길 18 엠제이빌딩 1층, 지하1층",동물위탁관리업
81,37.4858797,126.9889187,하울팟 케어클럽 서초본점반려동물,서울특별시 서초구 서초대로58길 36 4~5F,동물위탁관리업
82,37.4880562,126.986664,유어마이독반려동물,서울특별시 서초구 도구로 128-13 1층,동물위탁관리업
83,37.48111859999999,126.9141954,디어몽반려동물미용,서울특별시 관악구 난곡로63길 6,동물위탁관리업
84,37.488577,126.928096,투퍼피반려동물호텔,서울특별시 관악구 신림로 387 3층 투퍼피,동물위탁관리업
85,37.487627,126.9326428,개라다이스반려동물호텔,서울특별시 관악구 봉천로 283 대윤빌딩,동물위탁관리업
86,37.4778815,126.9345174,태우하우스반려동물호텔,서울특별시 관악구 신림로 242,동물위탁관리업
87,37.5029226,126.9094598,다즐링반려동물미용,서울특별시 영등포구 신길로 119 1층 121호,동물위탁관리업
88,37.4955123,126.7861847,체크인독반려동물호텔,경기도 광명시 금하로 534 종만빌딩 4층,동물위탁관리업
89,37.517007,126.9041419,박준강아지유치원애견훈련소애견훈련,서울특별시 영등포구 영중로 15,동물위탁관리업
90,37.4756175,126.8523921,몽이슈반려동물미용,경기도 광명시 광명로 855-1 3층,동물위탁관리업
91,37.4703975,126.8560839,아름다울개반려동물미용,경기도 광명시 도덕로 79 3층,동물위탁관리업
92,37.519515,126.8565618,몽몽바블펫샵반려동물미용,서울특별시 양천구 중앙로36길 24,동물위탁관리업
93,37.5590032,126.8343207,포독반려동물미용,서울특별시 강서구 마곡동로10길 46 406호,동물위탁관리업
94,37.6147407,126.8331688,댕댕당반려동물미용,경기도 고양시 덕양구 무원로6번길 61 GL프라자 3층,동물위탁관리업
