,address,type,시군구,address,type
74,서울특별시 성동구 광나루로 337 (송정동),동물병원,성동구,,
75,서울특별시 성동구 왕십리로 241 4층 (행당동 서울숲 더샵),동물병원,성동구,,
76,서울특별시 성동구 왕십리로 410 D동 106호 (하왕십리동 센트라스),동물병원,성동구,,
77,서울특별시 성동구 왕십리로 104 영화빌딩 2층 (성수동1가),동물병원,성동구,,
78,서울특별시 성동구 독서당로40길 39 213호 (옥수동 어울림상가),동물병원,성동구,,
79,서울특별시 성동구 뚝섬로 386 (성수동2가),동물병원,성동구,,
80,서울특별시 성동구 독서당로 328 (금호동4가),동물병원,성동구,,
81,서울특별시 성동구 마장로 137 221동 134호 (상왕십리동 텐즈힐몰),동물병원,성동구,,
82,서울특별시 성동구 매봉길 13 1층 420호 (옥수동 래미안옥수리버젠상가),동물병원,성동구,,
83,서울특별시 성동구 독서당로 289 (금호동4가지상1층),동물병원,성동구,,
84,서울특별시 구로구 남부순환로 775 (개봉동 개봉푸르지오),동물병원,구로구,,
85,서울특별시 성동구 뚝섬로 395 (성수동2가),동물병원,성동구,,
86,서울특별시 성동구 행당로8길 41-2 (행당동),동물병원,성동구,,
87,서울특별시 성동구 행당로 76 110호 (행당동 한진노변상가),동물병원,성동구,,
88,서울특별시 성동구 무학로 16 (홍익동),동물병원,성동구,,
89,서울특별시 광진구 아차산로 272 (자양동 이마트 자양점),동물병원,광진구,,
90,서울특별시 성동구 독서당로59길 84 신동아아파트상가동 1층 111호 (행당동),동물병원,성동구,,
91,서울특별시 성동구 독서당로 200 (옥수동),동물병원,성동구,,
92,서울특별시 성동구 마장로 296 (마장동),동물병원,성동구,,
93,서울특별시 성동구 독서당로 270 상가동 2층 206호 (금호동4가 금호동 대우아파트),동물병원,성동구,,
94,서울특별시 성동구 금호로 105 비201호 (금호동2가 래미안하이리버 상가동),동물병원,성동구,,
95,서울특별시 성동구 왕십리로 282 (행당동),동물병원,성동구,,
96,서울특별시 성동구 행당로 76 한진노변상가 12층 108호109호203호 (행당동),동물병원,성동구,,
97,서울특별시 성동구 왕십리로 381 (하왕십리동),동물병원,성동구,,
98,서울특별시 광진구 뚝섬로52길 4 (자양동),동물병원,광진구,,
99,서울특별시 성동구 금호산길 58(금호동2가),동물병원,성동구,,
100,서울특별시 광진구 면목로 142 (중곡동),동물병원,광진구,,
101,서울특별시 광진구 아차산로 537-17 (광장동),동물병원,광진구,,
102,서울특별시 광진구 광나루로 361 2동 103호 (군자동 광진동양파라곤),동물병원,광진구,,
103,서울특별시 강북구 삼양로123길 6-12 (수유동),동물병원,강북구,,
104,서울특별시 광진구 뚝섬로 541 (자양동),동물병원,광진구,,
105,서울특별시 성북구 숭인로 50 상가동 2203호 (길음동 래미안길음센터피스),동물병원,성북구,,
106,서울특별시 광진구 천호대로 623-1 1층 (중곡동),동물병원,광진구,,
107,서울특별시 광진구 광나루로 601 (광장동),동물병원,광진구,,
108,서울특별시 강북구 삼양로 252 (미아동),동물병원,강북구,,
109,서울특별시 광진구 광나루로 524 (구의동),동물병원,광진구,,
110,서울특별시 광진구 능동로 18 125호 (자양동 이튼타워리버3차),동물병원,광진구,,
111,서울특별시 광진구 자양로 48 104호 (자양동),동물병원,광진구,,
112,서울특별시 마포구 독막로20나길 22 B106호 (상수동 래미안밤섬리베뉴 1),동물병원,마포구,,
113,서울특별시 광진구 천호대로 663 (구의동),동물병원,광진구,,
114,서울특별시 광진구 광나루로56길 32 105106201호 (구의동 구의현대2단지아파트),동물병원,광진구,,
115,서울특별시 마포구 매봉산로 31 S-PLEX CENTER 지하1층 (상암동),동물병원,마포구,,
116,서울특별시 광진구 뚝섬로 622-1 (자양동),동물병원,광진구,,
117,서울특별시 광진구 천호대로 642-1 (능동),동물병원,광진구,,
118,서울특별시 광진구 군자로 84 (군자동),동물병원,광진구,,
119,서울특별시 광진구 능동로 334 (중곡동),동물병원,광진구,,
120,서울특별시 광진구 긴고랑로 47 (중곡동),동물병원,광진구,,
121,서울특별시 광진구 용마산로 66 (중곡동),동물병원,광진구,,
122,서울특별시 광진구 광나루로 392-1 (화양동),동물병원,광진구,,
123,서울특별시 광진구 자양로 94 (자양동),동물병원,광진구,,
124,서울특별시 광진구 아차산로 493 (광장동),동물병원,광진구,,
125,서울특별시 광진구 아차산로 451 (구의동),동물병원,광진구,,
126,서울특별시 광진구 능동로43길 3-5 (중곡동),동물병원,광진구,,
127,서울특별시 광진구 능동로 49 (자양동 영지빌딩),동물병원,광진구,,
128,서울특별시 광진구 능동로 283 (군자동),동물병원,광진구,,
129,서울특별시 광진구 뚝섬로 462 (자양동),동물병원,광진구,,
130,서울특별시 광진구 능동로 407 2층 (중곡동),동물병원,광진구,,
131,서울특별시 동대문구 답십리로 77 (전농동),동물병원,동대문구,,
132,서울특별시 강남구 선릉로126길 6(삼성동),동물병원,강남구,,
133,서울특별시 동대문구 정릉천동로 58 1층 125호 (용두동 롯데캐슬피렌체),동물병원,동대문구,,
134,서울특별시 동대문구 청계천로 417 108호 (신설동 청계천 대성 스카이렉스1),동물병원,동대문구,,
135,서울특별시 동대문구 장한로 44 1층 (장안동),동물병원,동대문구,,
136,서울특별시 동대문구 답십리로 293 1층 (장안동),동물병원,동대문구,,
137,서울특별시 동대문구 홍릉로 64-1 (청량리동),동물병원,동대문구,,
138,서울특별시 동대문구 사가정로 121 (전농동),동물병원,동대문구,,
139,서울특별시 동대문구 안암로 40 1층 (용두동),동물병원,동대문구,,
140,서울특별시 동대문구 장한로 139 (장안동),동물병원,동대문구,,
141,서울특별시 동대문구 홍릉로 48-1 1층 (청량리동),동물병원,동대문구,,
142,서울특별시 동대문구 이문로 80 (이문동),동물병원,동대문구,,
143,서울특별시 동대문구 전농로 86-1 (답십리동),동물병원,동대문구,,
144,서울특별시 동대문구 한천로 94 1층 (장안동),동물병원,동대문구,,
145,서울특별시 동대문구 사가정로 221 (장안동),동물병원,동대문구,,
146,서울특별시 동대문구 망우로 120 (휘경동),동물병원,동대문구,,
147,서울특별시 동대문구 전농로 15-3 (답십리동),동물병원,동대문구,,
148,서울특별시 동대문구 답십리로 140 세기프라자 2층 211호 (답십리동),동물병원,동대문구,,
149,서울특별시 동대문구 이문로 136 2층 208호 (이문동 이문동 웰츠타워),동물병원,동대문구,,
150,서울특별시 동대문구 사가정로 51 (전농동),동물병원,동대문구,,
151,서울특별시 동대문구 회기로18길 46 (회기동),동물병원,동대문구,,
152,서울특별시 영등포구 신길로 119 112동 비104105호 (신길동 신길뉴타운 한화 꿈에그린),동물병원,영등포구,,
153,서울특별시 동대문구 장한로 77 가나빌딩 (장안동),동물병원,동대문구,,
154,서울특별시 동대문구 고산자로 393-5 (용두동),동물병원,동대문구,,
155,서울특별시 중랑구 신내로 211 119호 (신내동 금강리빙스텔),동물병원,중랑구,,
156,서울특별시 중랑구 면목로 273 (면목동),동물병원,중랑구,,
157,서울특별시 중랑구 용마산로 532 금란동물병원 (망우동),동물병원,중랑구,,
158,서울특별시 중랑구 동일로 777 진정훈동물병원 (중화동),동물병원,중랑구,,
159,서울특별시 중랑구 봉화산로 103 1층 (중화동 삼일시티빌),동물병원,중랑구,,
160,서울특별시 중랑구 동일로 899 1층 (묵동),동물병원,중랑구,,
161,서울특별시 중랑구 겸재로 187 (면목동),동물병원,중랑구,,
162,서울특별시 중랑구 면목로 269 (면목동),동물병원,중랑구,,
163,서울특별시 중랑구 면목로 341 혜원동물병원 (면목동),동물병원,중랑구,,
164,서울특별시 중랑구 동일로 920 3층 (묵동),동물병원,중랑구,,
165,서울특별시 중랑구 중랑천로 81 (상봉동),동물병원,중랑구,,
166,서울특별시 중랑구 망우로 241 지하1층 (중화동 영해빌딩),동물병원,중랑구,,
167,서울특별시 중랑구 용마산로 434 (면목동 청파빌딩),동물병원,중랑구,,
168,서울특별시 중랑구 봉화산로 232 B동 1층 (신내동),동물병원,중랑구,,
169,서울특별시 중랑구 신내로 201 2층 (신내동 홈플러스),동물병원,중랑구,,
170,서울특별시 강북구 도봉로 110-1 4층 (미아동),동물병원,강북구,,
171,서울특별시 중랑구 면목로 442-1 1층 (면목동),동물병원,중랑구,,
172,서울특별시 중랑구 면목로 311 (면목동),동물병원,중랑구,,
173,서울특별시 중랑구 답십리로77길 33 1층 (면목동),동물병원,중랑구,,
174,서울특별시 중랑구 신내로 66 (신내동),동물병원,중랑구,,
175,서울특별시 성북구 성북로 27 (성북동1가),동물병원,성북구,,
176,서울특별시 중랑구 신내로 225 디아뜨갤러리 142호 (신내동),동물병원,중랑구,,
177,서울특별시 중랑구 사가정로 363 (면목동),동물병원,중랑구,,
178,서울특별시 은평구 불광로 59 1층 나호 (불광동),동물병원,은평구,,
179,서울특별시 중랑구 망우로 396 신인빌딩 (망우동),동물병원,중랑구,,
180,서울특별시 중랑구 신내로10길 7 (신내동),동물병원,중랑구,,
181,서울특별시 금천구 시흥대로 251 (시흥동 도일산호시티빌),동물병원,금천구,,
182,서울특별시 성북구 길음로13길 22 103호 104호 (길음동 길음7구역두산위브아파트),동물병원,성북구,,
183,서울특별시 성북구 종암로 65 (종암동),동물병원,성북구,,
184,서울특별시 성북구 보문로 137 (보문동2가),동물병원,성북구,,
185,서울특별시 중랑구 중랑천로 71 (상봉동),동물병원,중랑구,,
186,서울특별시 성북구 동소문로 66 (동소문동3가),동물병원,성북구,,
187,서울특별시 성북구 장위로 81 (장위동),동물병원,성북구,,
188,서울특별시 성북구 삼양로 84 (길음동),동물병원,성북구,,
189,서울특별시 성북구 보문로 99 (보문동5가),동물병원,성북구,,
190,서울특별시 영등포구 양평로12가길 14 르네상스 한강 오피스텔 1층 103호 (양평동4가),동물병원,영등포구,,
191,서울특별시 강북구 월계로 3 덕신빌딩 4층 (미아동),동물병원,강북구,,
192,서울특별시 중랑구 망우로 247 (중화동),동물병원,중랑구,,
193,서울특별시 중랑구 겸재로 207 1층 (면목동),동물병원,중랑구,,
194,서울특별시 성북구 화랑로 91 (하월곡동),동물병원,성북구,,
195,서울특별시 성북구 돌곶이로 56 (석관동),동물병원,성북구,,
196,서울특별시 성북구 화랑로 299 2층 210호 (장위동 석계역 한일노벨리아시티),동물병원,성북구,,
197,서울특별시 성북구 종암로19길 7 (종암동),동물병원,성북구,,
198,서울특별시 성북구 돌곶이로 91 (장위동),동물병원,성북구,,
199,서울특별시 성북구 동소문로 248 (길음동 삼부상가 102동 67호),동물병원,성북구,,
200,서울특별시 성북구 돌곶이로 220 105동 112호 (장위동 꿈의숲코오롱하늘채아파트),동물병원,성북구,,
201,서울특별시 성북구 동소문로 302 (하월곡동),동물병원,성북구,,
202,서울특별시 성북구 동소문로44길 43 (하월곡동 성북힐스테이트 101동112호),동물병원,성북구,,
203,서울특별시 성북구 종암로 113 (종암동),동물병원,성북구,,
204,서울특별시 성북구 돌곶이로 31 (석관동),동물병원,성북구,,
205,서울특별시 성북구 동소문로 74 (동소문동5가),동물병원,성북구,,
206,서울특별시 성북구 성북로 66 1층 (성북동),동물병원,성북구,,
207,서울특별시 성북구 길음로 33 (길음동 길음뉴타운 제상가비동 제지2층 25호),동물병원,성북구,,
208,서울특별시 성북구 아리랑로 18 1층 101호 (동선동5가),동물병원,성북구,,
209,서울특별시 성북구 삼양로4길 3 (길음동),동물병원,성북구,,
210,서울특별시 성북구 오패산로 75-1 (하월곡동),동물병원,성북구,,
211,서울특별시 강북구 한천로 1135(수유동),동물병원,강북구,,
212,서울특별시 성북구 아리랑로 27 (동소문동6가),동물병원,성북구,,
213,서울특별시 성북구 오패산로 22 (하월곡동),동물병원,성북구,,
214,서울특별시 강북구 노해로 94 (수유동),동물병원,강북구,,
215,서울특별시 강북구 덕릉로 79 (수유동),동물병원,강북구,,
216,서울특별시 강북구 도봉로 88 (미아동),동물병원,강북구,,
217,서울특별시 강북구 솔샘로 184 에스케이북한산시티 상가동 2동 209호 (미아동),동물병원,강북구,,
218,서울특별시 강북구 도봉로 202 (미아동),동물병원,강북구,,
219,서울특별시 강북구 월계로 35 (미아동),동물병원,강북구,,
220,서울특별시 강북구 노해로 65 1 2층 (수유동 리안스페이스),동물병원,강북구,,
221,서울특별시 강북구 삼양로117길 5 1층 (수유동),동물병원,강북구,,
222,서울특별시 강북구 삼양로 499 (수유동),동물병원,강북구,,
223,서울특별시 양천구 공항대로 636 (목동),동물병원,양천구,,
224,서울특별시 강북구 삼양로27길 19 상가 204동 108호 (미아동 삼성래미안트리베라아파트),동물병원,강북구,,
225,서울특별시 양천구 지양로 52 (신월동),동물병원,양천구,,
226,서울특별시 강북구 삼양로27길 19 (미아동 래미안트리베라 201동 116호),동물병원,강북구,,
227,서울특별시 강북구 월계로 53 (미아동),동물병원,강북구,,
228,서울특별시 강북구 삼양로 336 예향교회 1층 (수유동),동물병원,강북구,,
229,서울특별시 강북구 오현로 194 (번동 덕수빌딩 1층),동물병원,강북구,,
230,서울특별시 강북구 도봉로98길 56 (번동),동물병원,강북구,,
231,서울특별시 강북구 솔샘로 203-2 1층 (미아동),동물병원,강북구,,
232,서울특별시 강북구 삼양로19길 25 110동 지층 1-21-3호 (미아동 삼성래미안트리베라1차아파트),동물병원,강북구,,
233,서울특별시 노원구 동일로 1636 1층 (상계동),동물병원,노원구,,
234,서울특별시 강북구 삼양로24길 19 102동 110호 (미아동 현대성우아파트),동물병원,강북구,,
235,서울특별시 성북구 보국문로 68-1 정호빌딩 1층 (정릉동),동물병원,성북구,,
236,서울특별시 도봉구 방학로 162 (방학동),동물병원,도봉구,,
237,서울특별시 도봉구 도봉로 499 1층 (쌍문동),동물병원,도봉구,,
238,서울특별시 도봉구 도봉로 586 (창동),동물병원,도봉구,,
239,서울특별시 도봉구 해등로 184 (쌍문동),동물병원,도봉구,,
240,서울특별시 도봉구 도봉로180길 28 도봉투웨니퍼스트2단지 (도봉동),동물병원,도봉구,,
241,서울특별시 도봉구 도봉로110다길 20 (창동),동물병원,도봉구,,
242,서울특별시 도봉구 도봉로 723 3층 (방학동),동물병원,도봉구,,
243,서울특별시 도봉구 도봉로 603 1층 지층 (쌍문동),동물병원,도봉구,,
244,서울특별시 도봉구 도봉로 506 (창동),동물병원,도봉구,,
245,서울특별시 도봉구 노해로65길 14 1층 지층 (창동 영일빌딩),동물병원,도봉구,,
246,서울특별시 도봉구 덕릉로 256 (창동),동물병원,도봉구,,
247,서울특별시 도봉구 도당로 63 (방학동),동물병원,도봉구,,
248,서울특별시 도봉구 덕릉로 230 (창동),동물병원,도봉구,,
249,서울특별시 도봉구 도봉로 469 (쌍문동),동물병원,도봉구,,
250,서울특별시 도봉구 시루봉로 59 (쌍문동),동물병원,도봉구,,
251,서울특별시 도봉구 도봉로 618 108호 (창동),동물병원,도봉구,,
252,서울특별시 도봉구 도봉로 875 (도봉동),동물병원,도봉구,,
253,서울특별시 도봉구 마들로 695 1층 (도봉동),동물병원,도봉구,,
254,서울특별시 노원구 한글비석로 272 101호 (중계동 중원코아빌딩),동물병원,노원구,,
255,서울특별시 노원구 덕릉로 810-1 (상계동),동물병원,노원구,,
256,서울특별시 노원구 동일로 1280 116호 (중계동 시영2단지상가),동물병원,노원구,,
257,서울특별시 노원구 공릉로 168 (공릉동),동물병원,노원구,,
258,서울특별시 노원구 월계로 336 상천빌딩 1층 (월계동),동물병원,노원구,,
259,서울특별시 노원구 덕릉로 738 (상계동 정진145빌딩),동물병원,노원구,,
260,서울특별시 노원구 노원로 540 (상계동 상계주공아파트 9단지상가),동물병원,노원구,,
261,서울특별시 양천구 목동중앙로 43 (목동106호),동물병원,양천구,,
262,서울특별시 도봉구 방학로 54 (방학동),동물병원,도봉구,,
263,서울특별시 노원구 노원로1길 9 (공릉동 해중빌딩),동물병원,노원구,,
264,서울특별시 노원구 노원로 470 1층 (상계동 금녕빌딩),동물병원,노원구,,
265,서울특별시 양천구 오목로 198-1 (신정동1층),동물병원,양천구,,
266,서울특별시 노원구 한글비석로 245 (중계동 두타빌 A동 111112호),동물병원,노원구,,
267,서울특별시 노원구 한글비석로 363 종로약국 (중계동),동물병원,노원구,,
268,서울특별시 노원구 동일로 1104 (공릉동),동물병원,노원구,,
269,서울특별시 노원구 노원로 330 (중계동),동물병원,노원구,,
270,서울특별시 노원구 동일로 1649 (상계동 윤일빌딩),동물병원,노원구,,
271,서울특별시 노원구 한글비석로8길 16 102호 (중계동 대림벽산상가),동물병원,노원구,,
272,서울특별시 노원구 동일로207길 17 118호 (중계동 시영1단지B상가 ),동물병원,노원구,,
273,서울특별시 노원구 동일로 1051 (공릉동 영운빌딩 1층),동물병원,노원구,,
274,서울특별시 노원구 월계로 333 (월계동),동물병원,노원구,,
275,서울특별시 노원구 한글비석로52길 18 (상계동),동물병원,노원구,,
276,서울특별시 노원구 월계동 331-1   번지 신세계이마트 2층 ,동물병원,노원구,,
277,서울특별시 노원구 섬밭로 258 (중계동 건영옴니백화점),동물병원,노원구,,
278,서울특별시 노원구 화랑로 349 (월계동),동물병원,노원구,,
279,서울특별시 노원구 월계로45길 28 (월계동 월계아파트형공장),동물병원,노원구,,
280,서울특별시 노원구 화랑로 473 (공릉동),동물병원,노원구,,
281,서울특별시 노원구 동일로 1622 (상계동 유성상가),동물병원,노원구,,
282,서울특별시 노원구 동일로 1370 (상계동),동물병원,노원구,,
283,서울특별시 노원구 동일로203가길 29 (중계동 브라운스톤중계),동물병원,노원구,,
284,서울특별시 노원구 동일로 1333 (상계동),동물병원,노원구,,
285,서울특별시 노원구 동일로 1689 (상계동 하이베라스),동물병원,노원구,,
286,서울특별시 노원구 동일로 1363 명지프라자빌딩 102호 (상계동),동물병원,노원구,,
287,서울특별시 노원구 동일로 1626 1층 (상계동),동물병원,노원구,,
288,서울특별시 양천구 등촌로 16 (목동),동물병원,양천구,,
289,서울특별시 노원구 동일로 1356 상가동 2층 201호 (상계동 상계주공4단지아파트),동물병원,노원구,,
290,서울특별시 노원구 동일로192길 87 (공릉동),동물병원,노원구,,
291,서울특별시 노원구 노원로34길 76 (상계동),동물병원,노원구,,
292,서울특별시 노원구 동일로 1530 (상계동 다모아빌딩),동물병원,노원구,,
293,서울특별시 은평구 진관3로 37 은평구 뉴타운2지구 에코테라스 102호 (진관동),동물병원,은평구,,
294,서울특별시 양천구 등촌로 160 (목동),동물병원,양천구,,
295,서울특별시 은평구 통일로 885 (갈현동),동물병원,은평구,,
296,서울특별시 은평구 연서로 72 1층 101호 (역촌동),동물병원,은평구,,
297,서울특별시 은평구 백련산로 29 (응암동),동물병원,은평구,,
298,서울특별시 은평구 통일로 727-5 2층 (대조동),동물병원,은평구,,
299,서울특별시 은평구 연서로 317 (불광동 동윤빌딩),동물병원,은평구,,
300,서울특별시 은평구 연서로29길 24 지 2층 (갈현동 정운빌딩),동물병원,은평구,,
301,서울특별시 은평구 진관3로 70 (진관동 상림마을 821동 101호),동물병원,은평구,,
302,서울특별시 은평구 통일로 817 (대조동),동물병원,은평구,,
303,서울특별시 은평구 서오릉로 140 (대조동),동물병원,은평구,,
304,서울특별시 은평구 서오릉로 192 (갈현동),동물병원,은평구,,
305,서울특별시 은평구 역말로 7 (역촌동),동물병원,은평구,,
306,서울특별시 은평구 불광로 60 1층 (불광동),동물병원,은평구,,
307,서울특별시 은평구 응암로 226 (응암동),동물병원,은평구,,
308,서울특별시 은평구 불광로 37 (불광동),동물병원,은평구,,
309,서울특별시 은평구 통일로 879 (갈현동),동물병원,은평구,,
310,서울특별시 은평구 응암로 261 (응암동),동물병원,은평구,,
311,서울특별시 은평구 증산로9길 26-23 지하1층 (증산동),동물병원,은평구,,
312,서울특별시 은평구 진관2로 77 205동 지하1층 B104호 (진관동 은평뉴타운우물골),동물병원,은평구,,
313,서울특별시 은평구 갈현로 35 (신사동),동물병원,은평구,,
314,서울특별시 은평구 연서로 185 (갈현동),동물병원,은평구,,
315,서울특별시 은평구 서오릉로 86 (대조동),동물병원,은평구,,
316,서울특별시 은평구 통일로 697 (녹번동),동물병원,은평구,,
317,서울특별시 은평구 은평로 29 (신사동),동물병원,은평구,,
318,서울특별시 은평구 진관4로 87 629동 116호 (진관동 은평뉴타운상림마을),동물병원,은평구,,
319,서울특별시 은평구 진관2로 67 202동 B층 01호 (진관동 은평뉴타운우물골아파트),동물병원,은평구,,
320,서울특별시 은평구 응암로 286 (응암동),동물병원,은평구,,
321,서울특별시 은평구 은평로 208 (응암동),동물병원,은평구,,
322,서울특별시 은평구 가좌로 239 2층 (응암동 스타이루),동물병원,은평구,,
323,서울특별시 은평구 연서로 162 1층 (대조동),동물병원,은평구,,
324,서울특별시 송파구 삼학사로 88 금보 1층 (석촌동),동물병원,송파구,,
325,서울특별시 서대문구 신촌로 209 12층 (북아현동),동물병원,서대문구,,
326,서울특별시 서대문구 통일로 463 (홍제동),동물병원,서대문구,,
327,서울특별시 서대문구 신촌로 289-1 (북아현동),동물병원,서대문구,,
328,서울특별시 서대문구 통일로 392 (홍제동),동물병원,서대문구,,
329,서울특별시 서대문구 가좌로 104 (홍은동),동물병원,서대문구,,
330,서울특별시 서대문구 응암로 77 (북가좌동),동물병원,서대문구,,
331,서울특별시 서대문구 연희로 114 내풍빌딩 지층 (연희동),동물병원,서대문구,,
332,서울특별시 서대문구 가재울미래로 2 204동 1층 102-2103-1호 (남가좌동 DMC파크뷰자이),동물병원,서대문구,,
333,서울특별시 서대문구 증가로 150 100동 B209 B210호 (남가좌동),동물병원,서대문구,,
334,서울특별시 서대문구 가재울미래로 2 (남가좌동 DMC파크뷰자이),동물병원,서대문구,,
