,name,lat,long,address,type
71,디어독,37.5065483,127.0922476,서울특별시 광진구 자양동,위탁관리업
72,Canine Bath House,36.1508327,-95.9879055,서울특별시 광진구 자양동,위탁관리업
73,엄마 잘 다녀와,37.5619165,127.0833395,서울특별시 광진구 중곡동,위탁관리업
74,컴투펫,37.5327963,127.0854067,서울특별시 광진구 자양동,위탁관리업
75,버블링,37.5306703,127.0873324,서울특별시 광진구 자양동,위탁관리업
76,bijou pet(비쥬펫),37.5469318,127.074404,서울특별시 광진구 화양동,위탁관리업
77,와사비네집,37.5595296,127.0878678,서울특별시 광진구 중곡동,위탁관리업
78,쥬라기동물병원,37.5420399,127.0952643,서울특별시 광진구 광장동,위탁관리업
79,이쁘개멋있개,37.5514315,127.0712859,서울특별시 광진구 군자동,위탁관리업
80,댕댕이집합소,37.5382416,127.0892961,서울특별시 광진구 구의동,위탁관리업
81,동서울동물병원,37.5417344,127.0961809,서울특별시 광진구 광장동,위탁관리업
82,광진24시 필동물병원,37.5370307,127.0953541,서울특별시 광진구 구의동,위탁관리업
83,개판오분전,37.5592162,127.076535,서울특별시 광진구 중곡동,위탁관리업
84,로얄에이알씨(주),37.5358089,127.0684009,서울특별시 광진구 자양동,위탁관리업
85,베이비독,37.5333386,127.0687835,서울특별시 광진구 자양동,위탁관리업
86,중앙애견,37.5330865,127.0690458,서울특별시 광진구 자양동,위탁관리업
87,나루동물병원,37.5426824,127.1000365,서울특별시 광진구 광장동,위탁관리업
88,스마트동물병원 군자점,37.560789,127.0812197,서울특별시 광진구 중곡동,위탁관리업
89,방주종합동물병원,37.5593153,127.0809319,서울특별시 광진구 중곡동,위탁관리업
90,피카소 동물병원 미용,37.5473514,127.0733237,서울특별시 광진구 화양동,위탁관리업
91,준동물병원,37.5348747,127.0703598,서울특별시 광진구 자양동,위탁관리업
92,서울동물병원,37.562676,127.0815429,서울특별시 광진구 중곡동,위탁관리업
93,신나개,37.5753431,127.073783,서울특별시 동대문구 장안동,위탁관리업
94,아이원 동물병원,37.5719207,127.0575818,서울특별시 동대문구 답십리동,위탁관리업
95,호야펫살롱,37.5808288,127.0707412,서울특별시 동대문구 장안동,위탁관리업
96,푸른종합동물병원,37.5833673,127.0439626,서울특별시 동대문구 청량리동,위탁관리업
97,제연동물병원,37.5750329,127.0496055,서울특별시 동대문구 전농동,위탁관리업
98,펫샵몽,37.581572,127.0741282,서울특별시 동대문구 휘경동,위탁관리업
99,꽃길만 걷개,37.5679378,127.0738227,서울특별시 동대문구 장안동,위탁관리업
100,사랑해줄개,37.5952357,127.0646869,서울특별시 동대문구 이문동,위탁관리업
101,견우,37.5714191,127.0718291,서울특별시 동대문구 장안동,위탁관리업
102,펫119,37.5714999,127.0562332,서울특별시 동대문구 답십리동,위탁관리업
103,빈스독,37.5952212,127.061971,서울특별시 동대문구 이문동,위탁관리업
104,시현펫살롱,37.598473,127.0675194,서울특별시 동대문구 이문동,위탁관리업
105,도그 하우스,37.5910124,127.0393133,서울특별시 동대문구 제기동,위탁관리업
106,아띠 동물의료센터,37.573679,127.0523385,서울특별시 동대문구 전농동,위탁관리업
107,마이티 그루밍(동대문점),37.5900176,127.0636187,서울특별시 동대문구 휘경동,위탁관리업
108,"페트로(Petro, 동물병원)",37.5677753,127.0685248,서울특별시 동대문구 장안동,위탁관리업
109,까네지노,37.5687601,127.0567092,서울특별시 동대문구 답십리동,위탁관리업
110,버블독,37.5659531,127.0635445,서울특별시 동대문구 장안동,위탁관리업
111,주주 동물병원,37.5778143,127.0584687,서울특별시 동대문구 전농동,위탁관리업
112,둥글개 둥글개,37.5753431,127.073783,서울특별시 동대문구 장안동,위탁관리업
113,현대종합펫(현대동물병원),37.5724575,127.0730343,서울특별시 동대문구 장안동,위탁관리업
114,하이유 동물병원,37.5726188,127.0576283,서울특별시 동대문구 답십리동,위탁관리업
115,그루밍살롱 마루네,37.5809463,127.0710926,서울특별시 동대문구 장안동,위탁관리업
116,스마트 동물병원,37.57544,127.0676082,서울특별시 동대문구 장안동,위탁관리업
117,뉴월드 동물병원,37.5712021,127.0464349,서울특별시 동대문구 답십리동,위탁관리업
118,디아크 동물병원,37.5859225,127.0435459,서울특별시 동대문구 청량리동,위탁관리업
119,더케이 동물병원,37.5726727,127.0557243,서울특별시 동대문구 답십리동,위탁관리업
120,바론 동물의료센터,37.5984506,127.0618484,서울특별시 동대문구 이문동,위탁관리업
121,엘 동물병원,37.5746245,127.0377861,서울특별시 동대문구 용두동,위탁관리업
122,퍼피테일,37.5735085,127.0572925,서울특별시 동대문구 답십리동,위탁관리업
123,미니 앤 바니 애견샵,37.5684054,127.0687784,서울특별시 동대문구 장안동,위탁관리업
124,마리앤독,37.5995064,127.0778661,서울특별시 중랑구 중화동,위탁관리업
125,내안에너있DOG,37.6103313,127.0960772,서울특별시 중랑구 신내동,위탁관리업
126,댕댕살롱,37.579209,127.0872519,서울특별시 중랑구 면목동,위탁관리업
127,아이봄동물병원,37.6050099,127.095637,서울특별시 중랑구 신내동,위탁관리업
128,지앤에프,37.5816737,127.0931466,서울특별시 중랑구 면목동,위탁관리업
129,카페개인,37.57404289999999,127.0799241,서울특별시 중랑구 면목동,위탁관리업
130,개발소,37.582864,127.0863683,서울특별시 중랑구 면목동,위탁관리업
131,몽스토리,37.6027437,127.1079284,서울특별시 중랑구 망우동,위탁관리업
132,말랑말랑,37.6040303,127.0774536,서울특별시 중랑구 중화동,위탁관리업
133,태능동물병원 펫샵,37.6125587,127.0775696,서울특별시 중랑구 묵동,위탁관리업
134,디자인펫샵,37.5806066,127.0897143,서울특별시 중랑구 면목동,위탁관리업
135,닥터아이펫 동물병원,37.5971356,127.0875535,서울특별시 중랑구 상봉동,위탁관리업
136,우아하개,37.5884569,127.085461,서울특별시 중랑구 면목동,위탁관리업
137,홍상희동물병원,37.6125564,127.0775777,서울특별시 중랑구 묵동,위탁관리업
138,개날라리,37.5898542,127.0869476,서울특별시 중랑구 면목동,위탁관리업
139,주식회사 알에이엠씨로얄지점,37.5952831,127.0799032,서울특별시 중랑구 중화동,위탁관리업
140,금란동물애견,37.59842200000001,127.1005678,서울특별시 중랑구 망우동,위탁관리업
141,쁘띠멍,37.5785197,127.0908787,서울특별시 중랑구 면목동,위탁관리업
142,수애견,37.61503099999999,127.0787109,서울특별시 중랑구 묵동,위탁관리업
143,사랑해줄개,37.6039172,127.0957843,서울특별시 중랑구 신내동,위탁관리업
144,큐티펫,37.5913101,127.0768762,서울특별시 중랑구 면목동,위탁관리업
145,순진한 강아지,37.5927106,127.0982045,서울특별시 중랑구 망우동,위탁관리업
146,숲속동물병원,37.5893118,127.0910412,서울특별시 중랑구 면목동,위탁관리업
147,러블리펫,37.608603,127.0795151,서울특별시 중랑구 묵동,위탁관리업
148,진실이네 애견샵,37.5785063,127.0848275,서울특별시 중랑구 면목동,위탁관리업
149,진서동물병원,37.6046561,127.0959119,서울특별시 중랑구 신내동,위탁관리업
150,몽몽이#,37.5901798,127.0772577,서울특별시 중랑구 면목동,위탁관리업
151,땡일리 강아지 유치원,37.6156087,127.0507954,서울특별시 성북구 장위동,위탁관리업
152,강아지카페 카페개네,37.5921344,127.0172261,서울특별시 성북구 동선동2가,위탁관리업
153,VOVOPET,37.6104746,127.0193531,서울특별시 성북구 길음동,위탁관리업
154,블랑프리미엄펫,37.593239,127.0186315,서울특별시 성북구 동선동1가,위탁관리업
155,캣츠아일랜드,37.5947663,127.0104379,서울특별시 성북구 돈암동,위탁관리업
156,더편한동물병원,37.6124043,127.0272631,서울특별시 성북구 길음동,위탁관리업
157,마이도그(My Dog),37.6061261,127.061453,서울특별시 성북구 석관동,위탁관리업
158,카카오N동물병원,37.6075197,127.018009,서울특별시 성북구 길음동,위탁관리업
159,행복하개키울고양,37.5873143,127.0218412,서울특별시 성북구 안암동2가,위탁관리업
160,호펫 강아지 고양이 성신여대본점,37.5945128,127.0201163,서울특별시 성북구 동선동3가,위탁관리업
