,park,salon,cafe,deliver,equip,rst,hospital,manage,pharmacy,playground,restaurant,sell,cluster,lat,lng
1431,0.7,0.026315789,0.090909091,0.142857143,0.08,0,0,0,0,0,0.054054054,0.011627907,2,37.588239,126.984507
1432,0.8,0.052631579,0.090909091,0.142857143,0.16,0.016129032,0,0,0,0,0.027027027,0.011627907,2,37.588239,126.989507
1433,0.7,0.078947368,0,0.142857143,0.12,0.048387097,0.086956522,0.086956522,0.066666667,0,0.027027027,0.093023256,2,37.588239,126.994507
1434,0.5,0.131578947,0,0.142857143,0.32,0.112903226,0.086956522,0.173913043,0.177777778,0,0.054054054,0.139534884,2,37.588239,126.999507
1435,0.6,0.263157895,0.090909091,0,0.36,0.177419355,0.217391304,0.260869565,0.2,0,0.081081081,0.220930233,7,37.588239,127.004507
1436,0.6,0.394736842,0.181818182,0,0.56,0.209677419,0.347826087,0.391304348,0.333333333,0,0.081081081,0.372093023,7,37.588239,127.009507
1437,0.5,0.473684211,0.272727273,0.428571429,0.48,0.193548387,0.347826087,0.391304348,0.311111111,0,0.081081081,0.430232558,3,37.588239,127.014507
1438,0.5,0.447368421,0.272727273,0.571428571,0.48,0.161290323,0.304347826,0.304347826,0.244444444,0,0.081081081,0.38372093,14,37.588239,127.019507
1439,0.4,0.263157895,0.181818182,0.571428571,0.32,0.064516129,0.130434783,0.217391304,0.222222222,0.333333333,0.081081081,0.23255814,14,37.588239,127.024507
1440,0.3,0.157894737,0.090909091,0.285714286,0.16,0.080645161,0.086956522,0.086956522,0.044444444,0.333333333,0.081081081,0.139534884,10,37.588239,127.029507
1441,0.3,0.105263158,0,0,0.2,0.064516129,0.130434783,0.130434783,0.044444444,0.333333333,0.081081081,0.139534884,16,37.588239,127.034507
1442,0.4,0.105263158,0,0,0.2,0.14516129,0.130434783,0.130434783,0.133333333,0.333333333,0.081081081,0.11627907,10,37.588239,127.039507
1443,0.5,0.105263158,0,0,0.16,0.129032258,0.130434783,0.130434783,0.266666667,0.333333333,0,0.093023256,10,37.588239,127.044507
1444,0.5,0.131578947,0.181818182,0,0.24,0.080645161,0.130434783,0.130434783,0.244444444,0.666666667,0,0.081395349,9,37.588239,127.049507
1445,0.4,0.157894737,0.181818182,0,0.12,0.080645161,0.130434783,0.043478261,0.177777778,0.666666667,0.027027027,0.104651163,9,37.588239,127.054507
1446,0.4,0.210526316,0,0,0.12,0.032258065,0.173913043,0.130434783,0.2,0.333333333,0.027027027,0.11627907,10,37.588239,127.059507
1447,0.3,0.315789474,0,0,0.08,0.048387097,0.260869565,0.217391304,0.133333333,0.333333333,0.027027027,0.151162791,10,37.588239,127.064507
1448,0.2,0.315789474,0,0,0.12,0.032258065,0.173913043,0.304347826,0.177777778,0.333333333,0.054054054,0.255813953,10,37.588239,127.069507
1449,0.2,0.236842105,0.090909091,0.285714286,0.16,0.064516129,0.260869565,0.347826087,0.133333333,0.333333333,0.054054054,0.302325581,10,37.588239,127.074507
1450,0.4,0.289473684,0.090909091,0.285714286,0.2,0.096774194,0.434782609,0.304347826,0.311111111,0.333333333,0.081081081,0.441860465,8,37.588239,127.079507
1451,0.4,0.473684211,0.090909091,0.285714286,0.32,0.096774194,0.47826087,0.347826087,0.355555556,0.333333333,0.135135135,0.523255814,8,37.588239,127.084507
1452,0.3,0.5,0.090909091,0.142857143,0.32,0.112903226,0.391304348,0.304347826,0.355555556,0.333333333,0.108108108,0.5,8,37.588239,127.089507
1453,0.3,0.5,0,0.142857143,0.4,0.096774194,0.304347826,0.304347826,0.266666667,0,0.081081081,0.418604651,7,37.588239,127.094507
1454,0.3,0.236842105,0,0,0.24,0.048387097,0.173913043,0.130434783,0.088888889,0,0.081081081,0.220930233,19,37.588239,127.099507
1455,0.3,0.131578947,0,0,0.04,0.016129032,0.086956522,0.043478261,0.044444444,0,0.081081081,0.081395349,2,37.588239,127.104507
1456,0.4,0.026315789,0,0,0.04,0,0,0,0,0,0.081081081,0.011627907,2,37.588239,127.109507
1457,0.4,0,0,0,0,0,0,0,0,0,0.108108108,0,2,37.588239,127.114507
1458,0.2,0,0,0,0,0,0,0,0,0,0.108108108,0,15,37.588239,127.119507
1459,0,0.078947368,0,0,0.04,0,0,0,0,0,0.054054054,0,15,37.588239,127.124507
1460,0,0.157894737,0,0.142857143,0.04,0,0,0,0,0,0.054054054,0,15,37.588239,127.129507
1461,0,0.289473684,0.090909091,0.142857143,0.08,0,0,0,0,0,0.054054054,0,11,37.588239,127.134507
1462,0,0.5,0.090909091,0.285714286,0.12,0,0,0,0,0,0.054054054,0,11,37.588239,127.139507
1463,0,0.526315789,0.090909091,0.142857143,0.12,0,0,0,0,0,0.054054054,0,11,37.588239,127.144507
1464,0,0.447368421,0.090909091,0.142857143,0.12,0,0,0,0,0,0.054054054,0,11,37.588239,127.149507
1465,0,0.289473684,0.090909091,0.142857143,0.04,0,0,0,0,0,0.054054054,0,11,37.588239,127.154507
1466,0,0.026315789,0,0.142857143,0.08,0,0,0,0,0,0,0,15,37.588239,127.159507
1467,0,0.052631579,0,0.142857143,0.04,0,0,0,0,0,0,0,15,37.588239,127.164507
1468,0,0.052631579,0.090909091,0.142857143,0.04,0,0,0,0,0,0,0,15,37.588239,127.169507
1469,0,0.052631579,0.090909091,0.142857143,0.04,0,0,0,0,0,0,0,15,37.588239,127.174507
1470,0,0.052631579,0.090909091,0.142857143,0.04,0,0,0,0,0,0,0,15,37.588239,127.179507
1471,0,0,0.090909091,0,0,0,0,0,0,0,0,0,15,37.588239,127.184507
1472,0,0,0.090909091,0,0,0,0,0,0,0,0,0,15,37.588239,127.189507
1473,0,0,0,0.142857143,0,0,0,0,0,0,0,0,15,37.588239,127.194507
1474,0,0,0,0.142857143,0,0,0,0,0,0,0,0,15,37.588239,127.199507
1475,0,0.105263158,0,0,0,0,0,0,0,0,0,0,15,37.588239,127.204507
1476,0,0.157894737,0,0,0,0,0,0,0,0,0,0,15,37.588239,127.209507
1477,0,0.184210526,0,0,0,0,0,0,0,0,0,0,15,37.588239,127.214507
1478,0,0.236842105,0,0,0,0,0,0,0,0,0,0,15,37.588239,127.219507
1479,0,0.105263158,0,0,0,0,0,0,0,0,0,0,15,37.588239,127.224507
1480,0,0,0,0,0,0,0,0,0,0,0,0,15,37.593239,126.859507
1481,0,0,0,0,0,0,0,0,0,0,0,0,15,37.593239,126.864507
1482,0,0,0,0,0.04,0,0,0,0,0,0,0,15,37.593239,126.869507
1483,0,0,0,0,0.04,0,0,0,0,0,0,0,15,37.593239,126.874507
1484,0.1,0,0,0,0.04,0,0,0,0,0,0,0,15,37.593239,126.879507
1485,0.2,0.052631579,0,0,0,0,0,0,0,0,0,0.011627907,15,37.593239,126.884507
1486,0.3,0.052631579,0,0,0.04,0,0,0,0,0,0,0.011627907,15,37.593239,126.889507
1487,0.2,0.052631579,0,0,0.04,0,0,0,0.044444444,0,0.027027027,0.011627907,15,37.593239,126.894507
1488,0.2,0.105263158,0,0,0.12,0,0,0,0.066666667,0,0.108108108,0.023255814,15,37.593239,126.899507
1489,0.2,0.210526316,0,0.142857143,0.2,0.048387097,0.130434783,0.086956522,0.155555556,0,0.135135135,0.139534884,19,37.593239,126.904507
1490,0.3,0.342105263,0,0.142857143,0.4,0.096774194,0.260869565,0.217391304,0.377777778,0,0.135135135,0.325581395,7,37.593239,126.909507
1491,0.3,0.526315789,0,0,0.44,0.096774194,0.434782609,0.304347826,0.466666667,0,0.135135135,0.430232558,7,37.593239,126.914507
1492,0.3,0.5,0,0,0.36,0.080645161,0.391304348,0.304347826,0.444444444,0,0.135135135,0.406976744,7,37.593239,126.919507
1493,0.3,0.394736842,0,0,0.24,0.064516129,0.304347826,0.304347826,0.355555556,0,0.135135135,0.372093023,7,37.593239,126.924507
1494,0.3,0.342105263,0,0.142857143,0.12,0.048387097,0.217391304,0.130434783,0.111111111,0,0.135135135,0.244186047,19,37.593239,126.929507
1495,0.2,0.342105263,0.090909091,0.142857143,0.12,0.032258065,0.260869565,0.086956522,0.155555556,0,0.135135135,0.162790698,19,37.593239,126.934507
1496,0.3,0.289473684,0.272727273,0.142857143,0.24,0.016129032,0.130434783,0.217391304,0.311111111,0,0.081081081,0.151162791,19,37.593239,126.939507
1497,0.3,0.315789474,0.181818182,0.285714286,0.36,0.032258065,0.173913043,0.173913043,0.288888889,0,0.027027027,0.23255814,0,37.593239,126.944507
1498,0.3,0.263157895,0.181818182,0.142857143,0.32,0.032258065,0.173913043,0.130434783,0.311111111,0,0.027027027,0.197674419,19,37.593239,126.949507
