,번호,인증번호,농장명,농장소재지,인증품목,인증날짜,사육시설,사육규모(마리),자유방목
141,209,동물복지-16-07-3-1,영축농장,경상북도영천시,육계,2019-06-17,"4동 3,618.35㎡",62100,X
142,208,동물복지-10-26-1-2,유환농장2,경기도연천군,산란계,2019-06-19,"1동 1,352㎡",9000,X
143,207,동물복지-10-26-1-1,유환농장,경기도연천군,산란계,2019-06-19,"5동 3,301㎡",26280,X
144,206,동물복지-14-03-3-7,농업회사법인(주)계룡,전라북도익산시,육계,2019-06-11,"5동 8,102.35㎡",141834,X
145,205,동물복지-14-06-3-4,김제농장,전라북도김제시,육계,2019-06-11,"5동 10,780.9㎡",169100,X
146,204,동물복지-14-04-3-5,무염농장,전라북도정읍시,육계,2019-06-11,"3동 3,504㎡",63474,X
147,203,동물복지-10-20-1-1,부일농장,경기도이천시,산란계,2020-07-20,"3동 1,201.5㎡",7500,X
148,202,동물복지-12-02-1-5,황실토종닭농장,충청북도충주시,산란계,2019-05-17,1동 539.42㎡,2600,O
149,201,동물복지-16-06-1-3,오상팜,경상북도영주시,산란계,2019-05-02,"4동 2,220㎡",15467,X
150,200,동물복지-13-05-1-3,우리숲농장,충청남도서산시,산란계,2019-05-02,"4동 2,724.98㎡",14735,O
151,199,동물복지-13-04-1-5,수봉농원,충청남도아산시,산란계,2019-05-02,"6동 2,071㎡",15840,X
152,198,동물복지-14-08-3-8,대윤팜,전라북도진안군,육계,2019-04-22,"2동 2,646.94㎡",48760,X
153,197,동물복지-14-14-3-25,이기석농장,전라북도부안군,육계,2019-04-22,"2동 2,870.4㎡",50130,X
154,196,동물복지-18-01-1-4,더바른농장,제주특별자치도제주시 구좌읍,산란계,2019-04-17,"3동 1,623㎡",14700,X
155,195,동물복지-14-14-3-24,부안농장,전라북도부안군,육계,2019-04-10,"3동 3,267㎡",58725,X
156,194,동물복지-12-02-1-4,농업회사법인 명성농산(주),충청북도충주시,산란계,2019-03-11,"2동 3,405.2㎡",23800,X
157,193,동물복지-13-15-1-2,농업회사법인 강남농장 주식회사,충청남도당진시,산란계,2019-03-11,"5동 7,619㎡",50928,X
158,192,동물복지-17-18-1-1,청미래농장,경상남도함양군,산란계,2021-07-26,1동 384.8㎡,970,O
159,191,동물복지-15-04-1-4,한길양계,전라남도나주시,산란계,2019-02-26,"1동 1,385㎡",6300,X
160,190,동물복지-12-01-1-1,이끌림농장,충청북도청주시,산란계,2019-05-22,"6동 6,501㎡",52000,X
161,189,동물복지-14-06-3-3,태성농장2,전라북도김제시,육계,2019-02-08,"1동 1,126.5㎡",21330,X
162,188,동물복지-14-06-3-2,태성농장,전라북도김제시,육계,2019-02-08,"3동 3,379.5㎡",63990,X
163,187,동물복지-14-14-3-22,늘봄농장,전라북도부안군,육계,2020-08-10,"2동 3,056㎡",53620,X
164,186,동물복지-14-14-3-23,원농장,전라북도부안군,육계,2019-01-28,"2동 3,056㎡",53620,X
165,185,동물복지-16-02-1-2,이삭농장,경상북도경주시,산란계,2019-01-28,"4동 1,584㎡",8532,X
166,184,동물복지-10-23-1-4,행복짓는 농장,경기도여주시,산란계,2019-01-22,2동 560㎡,4500,X
167,183,동물복지-14-05-3-6,영금농장,전라북도남원시,육계,2019-01-21,"2동 4,151㎡",78720,X
168,182,동물복지-10-23-2-1,명산농장,경기도여주시,돼지,2018-12-27,"4동 2,040㎡",2000,X
169,181,동물복지-18-01-1-3,원일EM양계농장,제주특별자치도제주시 구좌읍,산란계,2018-12-26,"3동 1,479.4㎡",10478,X
170,180,동물복지-14-14-3-21,마루농장,전라북도부안군,육계,2018-12-17,"2동 2,703.9㎡",51240,X
171,179,동물복지-14-14-3-20,소담농장,전라북도부안군,육계,2018-12-17,"2동 2,703.9㎡",51240,X
172,178,동물복지-14-14-3-19,아람농장,전라북도부안군,육계,2018-12-10,"1동 1,774.4㎡",33640,X
173,177,동물복지-12-10-1-1,농업회사법인(주)동일농장 대소2지점,충청북도음성군,산란계,2018-12-03,"2동 1,865.78㎡",17133,X
174,176,동물복지-16-12-1-2,비봉자연농원,경상북도의성군,산란계,2018-12-03,"4동 1,965.6㎡",6000,O
175,175,동물복지-11-08-6-1,동창목장,강원도홍천군,젖소,2018-11-20,"1동 1,724㎡",41,X
176,174,동물복지-14-08-3-7,수희농장,전라북도진안군,육계,2018-11-12,"3동 4,481.73㎡",77388,X
177,173,동물복지-15-10-3-3,누리팜,전라남도보성군,육계,2018-11-12,"6동 8,407.78㎡",159341,X
178,172,동물복지-14-06-1-3,덕우농장,전라북도김제시,산란계,2018-11-05,"4동 7,733.5㎡",36000,X
179,171,동물복지-11-15-1-2,찬빈농장,강원도양구군,산란계,2021-07-26,"3동 2,119㎡",12500,X
180,170,동물복지-04-01-1-2,강화유정란농장,인천광역시강화군 선,산란계,2018-10-30,"4동 1,006㎡",5000,X
181,169,동물복지-14-14-3-18,예근농장,전라북도부안군,육계,2018-10-22,"3동 3,597㎡",68322,X
182,168,동물복지-17-17-1-1,산골농장2,경상남도산청군,산란계,2018-10-22,"2동 1,280㎡",10700,O
183,167,동물복지-15-17-3-2,C.H.H.Farm(2),전라남도함평군,육계,2018-10-10,"6동 6,963㎡",121836,X
184,166,동물복지-15-17-3-1,C.H.H.Farm,전라남도함평군,육계,2018-10-10,"4동 5,010㎡",88221,X
185,165,동물복지-14-14-3-17,드림농장,전라북도부안군,육계,2018-10-16,"2동 3,584㎡",64340,X
186,164,동물복지-14-08-3-6,운마2농장,전라북도진안군,육계,2018-10-16,"2동 4,896㎡",88120,X
187,163,동물복지-14-08-3-5,운마1농장,전라북도진안군,육계,2018-10-16,"2동 5,202㎡",93680,X
188,162,동물복지-14-03-3-6,낭산광진농장,전라북도익산시,육계,2018-10-01,"4동 4,703㎡",82441,X
189,161,동물복지-15-18-3-1,양평농장,전라남도영광군,육계,2018-10-01,"4동 9,229㎡",161737,X
190,160,동물복지-15-16-3-1,유화꼬꼬농장,전라남도무안군,육계,2018-10-01,"3동 4,558.9㎡",82118,X
191,159,동물복지-15-03-3-1,우리들농장,전라남도순천시,육계,2018-10-01,"3동 5,280㎡",91108,X
192,158,동물복지-14-05-3-5,진성농장,전라북도남원시,육계,2018-08-27,"3동 3,774㎡",67220,X
193,157,동물복지-16-04-1-1,농업회사법인 금빛축산(주),경상북도안동시,산란계,2018-08-27,"3동 5,248㎡",41000,X
194,156,동물복지-14-14-3-16,예솔농장,전라북도부안군,육계,2018-09-03,"3동 4,145.4㎡",69960,X
195,155,동물복지-16-06-1-1,대성3농장,경상북도영주시,산란계,2018-09-03,"3동 1,073.4㎡",10500,X
196,154,동물복지-10-23-1-3,우솔농장,경기도여주시,산란계,2018-09-03,"3동 1,912㎡",12800,X
197,153,동물복지-14-14-3-15,다산농장,전라북도부안군,육계,2018-08-20,"3동 4,251㎡",73922,X
198,152,동물복지-14-04-3-4,희망농장,전라북도정읍시,육계,2018-08-20,"3동 2,971.8㎡",54275,X
199,151,동물복지-14-14-3-14,성일농장,전라북도부안군,육계,2018-08-06,"3동 4,335.84㎡",83288,X
200,150,동물복지-16-21-1-2,농업회사법인(주)원애그,경상북도봉화군,산란계,2019-09-02,"7동 11,442.6㎡",193080,X
201,149,동물복지-14-14-3-12,청호축산,전라북도부안군,육계,2018-07-16,"3동 3,900.2㎡",73800,X
202,148,동물복지-12-03-1-3,농업회사법인조인(주)제천지점,충청북도제천시,산란계,2018-07-16,"8동 11,487.8㎡",79600,X
203,147,동물복지-04-01-1-1,소원농장,인천광역시강화군 불,산란계,2020-03-04,"2동 1,612㎡",12700,X
204,146,동물복지-14-14-3-11,강산자연농장,전라북도부안군,육계,2018-07-02,"3동 4,048.5㎡",76680,X
205,145,동물복지-12-02-1-3,우리농장,충청북도충주시,산란계,2018-06-14,"1동 1,020㎡",8500,O
206,144,동물복지-14-14-3-10,지영농장(2농장),전라북도부안군,육계,2018-06-18,"4동 4,435.2㎡",76153,X
207,143,동물복지-16-06-1-2,대목농장,경상북도영주시,산란계,2018-06-18,4동 588.3㎡,5000,O
208,142,동물복지-17-14-1-1,대가농장,경상남도고성군,산란계,2018-06-07,2동 676.65㎡,2705,O
209,141,동물복지-11-07-1-2,계성양계영농조합법인 2농장,강원도삼척시,산란계,2018-06-01,"2동 1,690㎡",12800,X
210,140,동물복지-11-15-1-1,농업회사법인 주식회사 부영농산,강원도양구군,산란계,2018-06-01,"1동 1,255.5㎡",9000,X
211,139,동물복지-10-21-1-4,알찬유정란,경기도용인시,산란계,2019-03-26,"5동 1,657.78㎡",12616,X
212,138,동물복지-10-24-1-1,미래숲농장,경기도화성시,산란계,2018-05-25,"4동 1,510㎡",11130,X
213,137,동물복지-13-04-1-4,우림농원,충청남도아산시,산란계,2018-05-25,"9동 4,029㎡",31500,X
214,136,동물복지-17-11-1-2,자연농원,경상남도의령군,산란계,2018-05-25,"4동 1,069.2㎡",4000,O
215,135,동물복지-12-02-1-2,알마니농장,충청북도충주시,산란계,2018-05-19,"4동 1,572.3㎡",9500,X
216,134,동물복지-14-14-3-9,도담농장,전라북도부안군,육계,2018-05-09,"2동 2,703.9㎡",51200,X
217,133,동물복지-14-14-3-8,보담농장,전라북도부안군,육계,2018-05-09,"2동 2,703.9㎡",51200,X
218,132,동물복지-13-09-1-1,농업회사법인하나팜스주식회사,충청남도부여군,산란계,2019-07-04,"4동 3,911㎡",25000,X
219,131,동물복지-12-06-1-1,삼기농장,충청북도옥천군,산란계,2018-05-14,"5동 1,645.5㎡",13320,X
220,130,동물복지-14-14-3-7,행안농장,전라북도부안군,육계,2018-02-12,"3동 3,719.1㎡",70410,X
221,129,동물복지-14-05-3-4,금안농원영농조합법인,전라북도남원시,육계,2018-01-22,"4동 5,808㎡",103783,X
222,128,동물복지-11-14-1-2,풍원농장,강원도화천군,산란계,2017-12-07,"4동 1,746.7㎡",13715,X
223,127,동물복지-14-05-3-3,금안농원2,전라북도남원시,육계,2017-11-07,"2동 3,144㎡",52150,X
224,126,동물복지-14-06-3-1,하늘농장,전라북도김제시,육계,2017-10-31,"3동 4,036.8㎡",69090,X
225,125,동물복지-14-05-3-2,이레농장,전라북도남원시,육계,2017-10-31,"5동 5,643.9㎡",99310,X
226,124,동물복지-14-04-3-3,대성농장,전라북도정읍시,육계,2017-10-12,"4동 2,888㎡",53715,X
227,123,동물복지-14-14-3-6,예은농장,전라북도부안군,육계,2017-09-25,"5동 6,019.2㎡",103612,X
228,122,동물복지-14-10-3-1,찬송농장,전라북도장수군,육계,2017-09-25,"2동 3,836㎡",71970,X
229,121,동물복지-14-11-3-3,달자농장,전라북도임실군,육계,2017-09-25,"2동 2,158㎡",38400,X
