,park,beauty,cafe,deliver,equip,food,hospital,manage,pharmacy,play,restaurant,sell,cluster,pca_x,pca_y
54,0.7061348843650465,0.08117595436594992,-1.0,-1.0,-0.39867239359625145,-1.0,-0.22932565995245835,-1.0,-0.5524556814879396,3.4062947067238913,-0.07701528318849264,-0.36119464896816345,0,-8.552345430296265,-1.6264770479319473
55,0.27960116327378487,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,-1.0,-0.6146628299762291,-1.0,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.36119464896816345,0,-8.539399430259012,-1.6998883990205986
108,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-1.0,-0.5524556814879396,3.4062947067238913,-0.07701528318849264,-0.5208959867261226,0,-8.548505517717254,-1.7047939912567467
109,0.7061348843650465,0.08117595436594992,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-1.0,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.36119464896816345,0,-8.554150960671992,-1.6191235300530757
110,0.7061348843650465,0.3514699429574374,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.20149331121020433,0,-8.543022613630173,-1.5252122978595484
111,0.7061348843650465,0.3514699429574374,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.20149331121020433,0,-8.543022613630173,-1.5252122978595484
163,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-1.0,-0.5524556814879396,3.4062947067238913,-0.07701528318849264,-0.5208959867261226,0,-8.548505517717254,-1.7047939912567467
164,0.7061348843650465,0.08117595436594992,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-1.0,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.36119464896816345,0,-8.554150960671992,-1.6191235300530757
165,0.7061348843650465,0.3514699429574374,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.041791973452245196,0,-8.54467799030311,-1.5041782855461014
166,0.7061348843650465,0.3514699429574374,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.041791973452245196,0,-8.54467799030311,-1.5041782855461014
167,0.7061348843650465,0.3514699429574374,-1.0,-1.0,-1.0,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.20149331121020433,0,-8.539743146814422,-1.5795339703825353
216,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,0.6378622706726935,-0.22932565995245835,-1.0,-0.5524556814879396,3.4062947067238913,-0.07701528318849264,-0.5208959867261226,0,-8.550386086343316,-1.7231276784679102
217,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,0.6378622706726935,-0.22932565995245835,-1.0,-0.5524556814879396,3.4062947067238913,-0.07701528318849264,-0.5208959867261226,0,-8.550386086343316,-1.7231276784679102
218,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,0.6378622706726935,-0.22932565995245835,-1.0,-0.5524556814879396,3.4062947067238913,-0.07701528318849264,-0.5208959867261226,0,-8.550386086343316,-1.7231276784679102
219,0.7061348843650465,0.08117595436594992,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-1.0,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.36119464896816345,0,-8.554150960671992,-1.6191235300530757
220,0.7061348843650465,0.3514699429574374,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.041791973452245196,0,-8.54467799030311,-1.5041782855461014
221,0.7061348843650465,0.3514699429574374,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.041791973452245196,0,-8.54467799030311,-1.5041782855461014
222,0.7061348843650465,0.3514699429574374,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.041791973452245196,0,-8.54467799030311,-1.5041782855461014
223,0.7061348843650465,0.3514699429574374,-1.0,-1.0,-1.0,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,3.4062947067238913,-0.07701528318849264,-0.041791973452245196,0,-8.541398523487358,-1.5584999580690877
263,1.132668605456308,-0.45941202281702503,-1.0,-1.0,-0.39867239359625145,1.4567934060090404,0.15601151007131248,-0.06751438086587956,-0.3286835222319094,1.9375298044825944,-1.0,-0.20149331121020433,0,-8.494120705726688,-1.4291857254921863
264,1.132668605456308,-0.45941202281702503,-1.0,-1.0,-0.39867239359625145,1.4567934060090404,0.15601151007131248,-0.06751438086587956,-0.10491136297587919,1.9375298044825944,-1.0,-0.20149331121020433,0,-8.49404566747635,-1.4034985204021517
265,1.132668605456308,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,1.4567934060090404,-0.6146628299762291,-1.0,0.118860796280151,1.9375298044825944,-1.0,-0.8402986622420409,0,-8.487126735961354,-1.6726980102353854
266,1.132668605456308,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,1.4567934060090404,-0.6146628299762291,-1.0,0.118860796280151,1.9375298044825944,-1.0,-0.8402986622420409,0,-8.487126735961354,-1.6726980102353854
267,1.132668605456308,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,1.4567934060090404,-0.6146628299762291,-1.0,0.118860796280151,1.9375298044825944,-1.0,-0.8402986622420409,0,-8.487126735961354,-1.6726980102353854
268,1.132668605456308,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,1.4567934060090404,-0.6146628299762291,-1.0,-0.10491136297587919,1.9375298044825944,-0.07701528318849264,-0.8402986622420409,0,-8.510083097914299,-1.6570829770068143
269,1.132668605456308,-0.45941202281702503,-1.0,-1.0,-0.39867239359625145,0.6378622706726935,-0.6146628299762291,-1.0,-0.10491136297587919,1.9375298044825944,-0.07701528318849264,-0.6805973244840817,0,-8.513923010493311,-1.5787660336820135
270,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,0.6378622706726935,-0.22932565995245835,-1.0,-0.3286835222319094,1.9375298044825944,-0.07701528318849264,-0.5208959867261226,0,-8.523918782981605,-1.4667458692475073
271,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,0.6378622706726935,-0.22932565995245835,-1.0,-0.5524556814879396,1.9375298044825944,-0.07701528318849264,-0.5208959867261226,0,-8.523993821231944,-1.4924330743375418
272,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,0.8039828192112456,0.6378622706726935,-0.22932565995245835,-1.0,-0.5524556814879396,1.9375298044825944,-0.07701528318849264,-0.5208959867261226,0,-8.530552754863443,-1.3837897292915677
273,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,0.8039828192112456,0.6378622706726935,-0.22932565995245835,-1.0,-0.5524556814879396,1.9375298044825944,-0.07701528318849264,-0.5208959867261226,0,-8.530552754863443,-1.3837897292915677
274,0.7061348843650465,0.08117595436594992,-1.0,-1.0,0.8039828192112456,0.6378622706726935,-0.22932565995245835,-1.0,-0.3286835222319094,1.9375298044825944,-0.07701528318849264,-0.36119464896816345,0,-8.536198197818178,-1.2981192680878961
275,0.7061348843650465,0.08117595436594992,-1.0,-1.0,0.8039828192112456,-0.18106886466365324,-0.22932565995245835,-1.0,-0.3286835222319094,1.9375298044825944,-0.07701528318849264,-0.36119464896816345,0,-8.534317629192122,-1.2797855808767333
276,0.7061348843650465,0.3514699429574374,-1.0,-1.0,0.8039828192112456,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,1.9375298044825944,-0.07701528318849264,-0.041791973452245196,0,-8.52484465882324,-1.1648403363697593
277,0.7061348843650465,0.3514699429574374,-1.0,-1.0,0.8039828192112456,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,1.9375298044825944,-0.07701528318849264,-0.041791973452245196,0,-8.52484465882324,-1.1648403363697593
278,0.7061348843650465,0.3514699429574374,-1.0,-1.0,0.8039828192112456,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,1.9375298044825944,-0.07701528318849264,-0.041791973452245196,0,-8.52484465882324,-1.1648403363697593
279,0.7061348843650465,0.3514699429574374,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-0.22932565995245835,-0.06751438086587956,-0.3286835222319094,1.9375298044825944,-0.07701528318849264,-0.041791973452245196,0,-8.521565192007488,-1.2191620088927462
318,1.132668605456308,-0.45941202281702503,-1.0,-1.0,0.20265521280749704,1.4567934060090404,0.15601151007131248,-0.06751438086587956,0.3426329555361812,1.9375298044825944,-1.0,-0.20149331121020433,0,-8.497175057791432,-1.2978024376990958
