,park,beauty,cafe,deliver,equip,food,hospital,manage,pharmacy,play,restaurant,sell,cluster,pca_x,pca_y
1232,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,-1.0,1.768954150434522,-0.5208959867261226,16,7.861423556910435,8.164333823676852
1233,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,0.4687649022412972,1.768954150434522,-0.5208959867261226,16,7.835031291799061,7.933639219546485
1234,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,0.4687649022412972,1.768954150434522,-0.5208959867261226,16,7.835031291799061,7.933639219546485
1288,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,-1.0,1.768954150434522,-0.5208959867261226,16,7.861423556910435,8.164333823676852
1289,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,-1.0,1.768954150434522,-0.5208959867261226,16,7.861423556910435,8.164333823676852
1290,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,-1.0,1.768954150434522,-0.5208959867261226,16,7.861423556910435,8.164333823676852
1291,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,-1.0,1.768954150434522,-0.5208959867261226,16,7.861423556910435,8.164333823676852
1292,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,-1.0,1.768954150434522,-0.5208959867261226,16,7.861423556910435,8.164333823676852
1344,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,-1.0,1.768954150434522,-0.5208959867261226,16,7.861423556910435,8.164333823676852
1345,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,-1.0,1.768954150434522,-0.5208959867261226,16,7.861423556910435,8.164333823676852
1346,-0.14693255781747677,-0.18911803422553755,-1.0,9.347144456886898,-0.39867239359625145,-1.0,0.15601151007131248,-1.0,-0.10491136297587919,-1.0,0.8459694336230147,-0.5208959867261226,16,7.884304880613047,8.123031585358248
