,park,beauty,cafe,deliver,equip,food,hospital,manage,pharmacy,play,restaurant,sell,cluster
112,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
113,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
114,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
115,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
116,0.7061348843650465,-1.0,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
168,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
169,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
170,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
171,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
172,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
173,0.7061348843650465,-1.0,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-1.0,-0.7762278407439698,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
224,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
225,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
226,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
227,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
228,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
229,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
230,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
280,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.36119464896816345,0
281,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
282,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
283,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
284,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,0.11790936430571394,0
285,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
286,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
287,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
336,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.36119464896816345,0
337,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.36119464896816345,0
338,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
339,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,0.11790936430571394,0
340,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,0.11790936430571394,0
341,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,0.11790936430571394,0
