,park,beauty,cafe,deliver,equip,food,hospital,manage,pharmacy,play,restaurant,sell,cluster,lat,lng
935,0.2,0.13157894736842107,0.0,0.14285714285714285,0.16,0.06451612903225806,0.1739130434782609,0.043478260869565216,0.2,0.33333333333333337,0.08108108108108109,0.17441860465116277,10,37.553239,127.094507
936,0.2,0.07894736842105264,0.0909090909090909,0.0,0.08,0.016129032258064516,0.08695652173913043,0.0,0.13333333333333333,0.33333333333333337,0.05405405405405406,0.09302325581395349,16,37.553239,127.099507
937,0.1,0.0,0.0909090909090909,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.02702702702702703,0.011627906976744179,15,37.553239,127.104507
938,0.2,0.0,0.0909090909090909,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.02702702702702703,0.011627906976744179,15,37.553239,127.109507
939,0.2,0.0,0.0909090909090909,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,15,37.553239,127.114507
940,0.2,0.1842105263157895,0.0,0.0,0.16,0.09677419354838711,0.13043478260869568,0.13043478260869565,0.17777777777777778,0.0,0.05405405405405406,0.12790697674418605,19,37.553239,127.119507
941,0.1,0.2894736842105263,0.0,0.0,0.36,0.14516129032258066,0.13043478260869568,0.17391304347826086,0.17777777777777778,0.0,0.05405405405405406,0.19767441860465115,19,37.553239,127.124507
942,0.2,0.5,0.0,0.4285714285714285,0.32,0.16129032258064518,0.3478260869565218,0.30434782608695654,0.24444444444444444,0.33333333333333337,0.02702702702702703,0.34883720930232553,8,37.553239,127.129507
943,0.2,0.5263157894736843,0.0,0.2857142857142857,0.36,0.14516129032258066,0.4347826086956522,0.3913043478260869,0.3111111111111111,0.33333333333333337,0.02702702702702703,0.4418604651162791,8,37.553239,127.134507
944,0.5,0.631578947368421,0.0,0.2857142857142857,0.36,0.11290322580645162,0.5652173913043479,0.3913043478260869,0.26666666666666666,0.33333333333333337,0.02702702702702703,0.5116279069767442,8,37.553239,127.139507
945,0.6000000000000001,0.5263157894736843,0.0,0.2857142857142857,0.28,0.08064516129032259,0.5652173913043479,0.34782608695652173,0.35555555555555557,0.33333333333333337,0.02702702702702703,0.46511627906976744,8,37.553239,127.144507
946,0.6000000000000001,0.4473684210526316,0.0,0.14285714285714285,0.28,0.04838709677419355,0.391304347826087,0.30434782608695654,0.5333333333333333,0.33333333333333337,0.02702702702702703,0.40697674418604646,8,37.553239,127.149507
947,0.6000000000000001,0.34210526315789475,0.0,0.14285714285714285,0.16,0.03225806451612903,0.13043478260869568,0.21739130434782608,0.4222222222222222,0.33333333333333337,0.02702702702702703,0.26744186046511625,10,37.553239,127.154507
948,0.6000000000000001,0.2368421052631579,0.0,0.14285714285714285,0.0,0.03225806451612903,0.0,0.13043478260869565,0.4666666666666667,0.33333333333333337,0.0,0.11627906976744184,10,37.553239,127.159507
949,0.5,0.26315789473684215,0.0,0.14285714285714285,0.08,0.016129032258064516,0.4347826086956522,0.08695652173913043,0.4,0.0,0.0,0.10465116279069767,19,37.553239,127.164507
950,0.5,0.2105263157894737,0.0,0.14285714285714285,0.08,0.0,0.4347826086956522,0.043478260869565216,0.15555555555555556,0.0,0.0,0.0813953488372093,2,37.553239,127.169507
