,park,beauty,equip,food,hospital,manage,pharmacy,sell,dbscan_cluster
152,5,3,1,4,3,2,3,5,-1
153,5,1,1,4,2,0,3,3,-1
154,5,1,1,4,1,0,3,1,-1
155,5,1,1,4,1,0,3,1,-1
156,5,1,1,4,1,0,3,1,-1
157,5,1,1,4,1,0,3,1,-1
158,5,2,1,3,1,0,3,2,-1
159,5,3,1,3,2,0,3,3,-1
160,4,3,1,3,2,0,3,3,-1
161,4,3,1,3,2,0,2,3,-1
162,4,3,1,2,2,0,2,3,-1
163,4,3,1,1,2,0,2,3,-1
164,4,4,1,1,2,0,3,4,-1
165,4,5,1,1,2,1,3,6,-1
166,4,5,1,1,2,1,3,6,-1
167,4,5,0,1,2,1,3,5,-1
168,3,0,2,1,0,0,0,5,1
169,3,0,2,1,0,0,0,5,1
170,3,0,2,1,0,0,0,5,1
171,3,0,2,2,0,0,0,5,1
172,3,0,2,2,0,0,0,5,1
173,4,0,2,2,0,0,1,5,-1
174,4,1,2,4,0,1,1,7,-1
175,4,1,2,4,0,1,2,7,-1
176,4,1,3,4,0,1,2,7,-1
177,4,1,3,4,1,1,2,7,-1
178,4,2,4,4,1,2,2,9,-1
179,3,2,5,4,2,2,2,11,-1
180,3,3,5,4,2,3,2,7,-1
181,3,3,5,4,2,3,2,7,-1
182,3,3,5,4,2,3,2,7,-1
183,3,3,4,4,2,3,2,7,-1
184,3,3,4,4,2,3,2,7,-1
185,3,3,3,5,2,3,2,7,-1
186,4,3,3,5,2,3,2,7,-1
187,4,3,3,5,2,3,2,7,-1
188,4,3,3,6,2,3,3,7,-1
189,4,3,3,6,2,3,3,7,-1
190,4,3,3,4,2,3,4,7,-1
191,5,3,3,4,2,3,5,7,-1
192,5,3,4,4,2,3,5,7,-1
193,5,3,4,4,2,3,5,7,-1
194,4,3,4,3,2,3,5,7,-1
195,4,3,4,2,2,3,5,7,-1
196,5,2,4,2,2,2,5,4,-1
197,5,2,4,2,2,2,5,5,-1
198,5,2,4,2,2,2,5,5,-1
199,5,2,4,2,2,2,5,5,-1
200,5,2,3,2,2,2,5,5,-1
201,5,2,3,2,2,2,6,5,-1
202,5,2,2,3,3,2,6,5,-1
203,5,2,2,3,3,2,5,5,3
204,5,2,2,4,3,2,5,5,3
205,5,3,2,4,3,2,3,5,-1
206,5,3,2,4,3,2,4,5,3
207,5,3,1,4,3,2,3,5,-1
208,5,2,1,4,3,1,3,5,-1
209,5,1,1,4,2,0,3,1,-1
210,5,1,1,4,1,0,3,1,-1
211,5,1,1,4,1,0,3,1,-1
212,5,1,1,4,1,0,3,1,-1
213,5,2,1,3,1,0,3,1,-1
214,5,3,1,3,2,0,3,3,-1
215,4,3,1,3,2,0,3,3,-1
216,4,3,1,2,2,0,2,3,-1
217,4,3,1,2,2,0,2,3,-1
218,4,3,1,2,2,0,2,3,-1
219,4,4,1,1,2,0,3,4,-1
220,4,5,1,1,2,1,3,6,-1
221,4,5,1,1,2,1,3,6,-1
222,4,5,1,1,2,1,3,6,-1
223,4,5,0,1,2,1,3,6,-1
224,3,0,2,0,0,0,0,5,1
225,3,0,2,1,0,0,0,5,1
226,3,0,2,1,0,0,0,5,1
227,3,0,2,1,0,0,0,5,1
228,3,0,2,2,0,0,0,5,1
229,3,1,2,2,0,1,1,7,-1
230,3,1,2,2,0,1,1,7,-1
231,4,1,2,2,0,1,2,7,-1
232,4,1,3,2,0,1,2,7,-1
233,4,1,3,4,0,1,2,7,-1
234,4,2,3,4,1,2,2,9,-1
235,3,2,4,4,1,2,2,7,-1
236,3,2,5,4,2,2,2,7,-1
237,3,3,5,4,2,3,2,7,-1
238,3,3,4,4,2,3,2,7,-1
239,3,3,4,4,2,3,2,7,-1
240,4,3,3,4,2,3,2,7,2
241,4,3,3,5,2,3,2,7,-1
242,4,3,3,5,2,3,2,7,-1
243,4,3,3,3,2,3,2,7,2
244,4,3,3,4,2,3,2,7,2
245,4,3,3,4,2,3,2,7,2
246,4,3,3,4,2,3,2,7,2
247,4,3,3,4,2,3,4,7,-1
248,5,3,3,4,2,3,4,7,-1
249,5,3,4,3,2,3,4,7,-1
250,5,3,4,2,2,3,4,7,2
251,4,3,4,2,2,3,5,6,-1
252,4,3,4,2,2,3,5,7,-1
253,4,2,4,2,2,2,5,5,-1
254,5,2,4,2,2,2,5,5,-1
255,5,2,3,2,2,2,5,5,-1
256,5,2,3,2,2,2,4,5,-1
257,5,2,2,3,3,2,3,5,3
